siteid,spid,x,y,occ,group,disturb,mi,rainann,rugged,soildepth,soilfert,solrad,tempann,topo,vegsys,cti,raindq,tempmin
10034,tgb,152.3203,-29.4739,0,ba,2,93,1940,23,1120,2,87,149,-16,1,1579,270,9
10035,tgb,152.3295,-29.4857,0,ba,2,93,2282,40,1190,2,88,132,7,1,1309,312,7
10036,tgb,152.3516,-29.2494,0,ba,1,86,1558,67,939,2,93,139,3,2,1219,216,8
10037,tgb,152.383,-30.5111,0,ba,3,95,1932,16,1190,4,86,108,2,3,1329,300,-1
10038,tgb,152.3844,-29.2802,0,ba,2,84,1344,53,1000,2,81,164,25,2,1119,186,34
10003,tgb,151.1794,-31.2865,0,ba,3,59,862,55,990,2,90,140,-17,3,1659,198,-9
10039,tgb,152.3867,-29.2405,0,ba,3,87,1538,60,1009,2,92,148,-6,1,1239,204,13
10040,tgb,152.3929,-29.2297,0,ba,1,91,1562,25,1049,2,84,143,10,1,1299,210,11
10041,tgb,152.3966,-30.5067,0,ba,1,95,2024,60,1139,4,79,111,16,1,1159,306,0
10042,tgb,152.4054,-29.2108,0,ba,2,88,1568,37,1039,2,92,142,22,2,1149,210,10
10043,tgb,152.4112,-29.2776,0,ba,1,75,1196,31,1009,2,84,174,18,3,1219,162,41
10044,tgb,152.4154,-31.9638,0,ba,3,77,1094,22,1039,2,90,170,7,2,1169,186,41
10045,tgb,152.4257,-30.5149,0,ba,1,93,1858,86,1029,2,73,128,40,2,1079,264,-1
10046,tgb,152.4427,-29.0949,0,ba,2,84,1344,20,1029,2,91,158,-3,2,1339,180,28
10047,tgb,152.4465,-30.525,0,ba,1,92,1866,58,1019,2,73,131,33,2,1119,264,-10
10048,tgb,152.4857,-28.6687,0,ba,3,82,1240,18,1049,4,88,163,15,1,1189,162,41
10004,tgb,151.1875,-31.302,0,ba,3,72,1018,53,970,2,84,122,-7,3,1389,252,-21
10049,tgb,152.4988,-30.4945,0,ba,1,84,1392,60,1100,2,90,181,-24,2,1299,192,66
10050,tgb,152.5245,-32.4362,0,ba,2,79,1300,15,1259,1,86,170,0,5,1329,282,54
10051,tgb,152.5479,-29.4936,0,ba,3,87,1500,34,1070,2,87,162,11,2,1199,198,33
10052,tgb,152.6164,-30.5238,0,ba,3,92,2366,91,1039,2,67,157,20,2,1069,330,25
10053,tgb,152.6172,-28.9453,0,ba,3,71,1072,14,1080,2,90,185,-11,3,1729,132,42
10054,tgb,152.6208,-30.0619,0,ba,3,84,1382,33,1049,2,91,148,30,3,1109,186,-4
10055,tgb,152.6304,-30.0658,0,ba,3,86,1422,30,1039,2,91,150,10,2,1129,192,1
10056,tgb,152.6602,-28.5041,0,ba,3,82,1198,38,1090,2,89,174,-21,2,1739,156,42
10057,tgb,152.6858,-28.5141,0,ba,3,88,1358,44,1039,2,84,168,30,2,1109,174,46
10058,tgb,152.6934,-28.5172,0,ba,2,86,1316,68,1009,2,80,171,-4,2,1219,162,42
10005,tgb,151.1884,-31.6376,0,ba,2,87,1268,58,1029,5,77,104,32,2,1119,300,-9
10059,tgb,152.7071,-31.1962,0,ba,3,88,1330,11,1129,2,87,180,-4,2,1509,192,66
10060,tgb,152.7493,-29.0675,0,ba,2,81,1398,67,1029,1,93,165,7,3,1179,174,44
10061,tgb,152.7608,-28.5259,0,ba,3,85,1342,30,1090,2,88,176,-1,2,1499,162,46
10062,tgb,152.7971,-30.3645,0,ba,1,94,2478,23,1200,2,81,144,10,1,1159,372,-3
10063,tgb,152.7981,-30.3627,0,ba,1,94,2482,26,1200,2,85,148,14,1,1169,372,0
10064,tgb,152.8234,-28.3699,0,ba,1,88,1220,73,1039,5,88,180,-27,1,1419,156,47
10065,tgb,152.8825,-31.1604,0,ba,2,87,1410,7,1139,2,87,181,6,3,1249,210,60
10066,tgb,152.8863,-30.592,0,ba,3,91,1618,83,1039,2,83,179,30,2,1089,216,74
10067,tgb,152.9059,-29.4513,0,ba,2,76,1180,12,1110,1,89,186,0,3,1269,168,59
10068,tgb,152.9214,-28.3754,0,ba,1,91,1578,37,1120,5,86,166,-4,1,1439,192,55
10006,tgb,151.1957,-31.6413,0,ba,2,87,1270,55,1009,5,85,102,32,2,1149,300,-10
10069,tgb,152.9275,-28.3754,0,ba,2,92,1648,35,1080,5,85,164,-7,1,1299,204,55
10070,tgb,152.9286,-28.3736,0,ba,2,92,1672,31,1070,5,83,161,16,1,1149,210,52
10071,tgb,152.9295,-31.4681,0,ba,1,90,1592,18,1090,2,84,178,4,1,1249,264,58
10072,tgb,152.9536,-29.399,0,ba,2,76,1188,9,1129,1,89,190,0,3,1379,162,65
10073,tgb,152.9952,-29.3814,0,ba,2,77,1240,8,1120,2,89,188,0,3,1339,168,63
10074,tgb,153.0417,-30.4621,0,ba,4,83,1546,4,1320,1,88,186,-1,9,1329,222,70
10075,tgb,153.0561,-28.3962,0,ba,2,94,1958,58,1110,4,83,153,2,1,1249,234,41
10076,tgb,153.0567,-28.3962,0,ba,2,94,1958,71,1110,4,83,152,20,1,1179,234,40
10077,tgb,153.0663,-28.3781,0,ba,1,94,1842,44,1149,4,87,154,-18,1,1449,222,43
10078,tgb,153.082,-30.1155,0,ba,2,93,1760,80,1019,2,71,167,-3,2,1239,228,53
10007,tgb,151.2698,-32.2457,0,ba,3,89,1322,23,1029,2,83,131,1,2,1309,264,-10
10079,tgb,153.1174,-28.4223,0,ba,3,95,2534,41,1200,4,83,140,6,1,1259,318,26
10080,tgb,153.1184,-28.4169,0,ba,3,94,2542,30,1179,4,85,137,16,1,1099,324,24
10081,tgb,153.1246,-28.4304,0,ba,3,94,2606,110,1120,4,88,136,32,1,1099,330,24
10082,tgb,153.1328,-28.4602,0,ba,3,94,2818,58,1129,4,73,132,40,1,1119,360,22
10083,tgb,153.143,-28.4412,0,ba,1,93,2218,146,1029,4,92,153,44,2,979,246,41
10084,tgb,153.1433,-30.1209,0,ba,2,83,1640,39,1129,2,90,186,-9,2,1249,210,77
10085,tgb,153.1453,-30.1209,0,ba,2,83,1654,36,1129,2,91,186,20,2,1099,210,78
10086,tgb,153.1474,-30.1209,0,ba,2,84,1666,32,1139,2,89,186,-28,2,1699,210,74
10087,tgb,153.1711,-28.48,0,ba,3,88,1606,26,1159,2,90,183,-17,1,1819,174,53
10088,tgb,153.2117,-29.0793,0,ba,4,78,1186,7,1090,1,89,195,0,9,1649,174,72
10008,tgb,151.2802,-32.1458,0,ba,1,88,1318,41,1080,5,86,125,-9,3,1329,270,-17
10089,tgb,153.2121,-29.7706,0,ba,3,79,1328,9,1120,2,89,187,-4,3,1429,186,74
10090,tgb,153.2123,-29.7628,0,ba,2,80,1338,10,1129,2,88,186,2,3,1189,192,74
10091,tgb,153.2181,-29.2138,0,ba,3,75,1160,8,1100,4,91,191,-2,3,1499,168,71
10092,tgb,153.2308,-29.6731,0,ba,3,85,1570,31,1059,2,86,182,28,3,1139,228,69
10093,tgb,153.2369,-29.6815,0,ba,3,84,1494,9,1139,2,88,186,19,3,1159,228,73
10094,tgb,153.2654,-28.395,0,ba,1,90,2146,174,970,2,98,163,-21,1,1129,240,58
10095,tgb,153.2801,-29.2949,0,ba,1,81,1450,5,1129,2,89,190,2,3,1379,222,74
10096,tgb,153.3098,-28.5718,0,ba,1,91,2046,64,1129,5,89,184,-19,1,1339,216,57
10097,tgb,153.3098,-28.5714,0,ba,1,92,2034,63,1179,5,91,184,-22,1,2109,210,57
10098,tgb,153.3108,-28.5736,0,ba,2,92,2076,77,1120,5,86,179,15,2,1079,222,58
