siteid,spid,x,y,occ,group,bc01,bc04,bc05,bc06,bc12,bc15,bc17,bc20,bc31,bc33,slope,topo,tri
10299,tgb,422416,7897279,0,bird,22,1.06,30.4,12.1,1367,105,61,19.4,54,0.17,2.47E+01,0,1208.574
10300,tgb,409416,7897179,0,bird,19.4,1.13,28.6,9.7,2120,98,123,18.7,26,0.5,2.67E+00,90,151.73
10301,tgb,408716,7896879,0,bird,19.5,1.13,28.7,9.7,2038,98,117,18.7,28,0.47,0.00E+00,50,116.456
10302,tgb,442534,7885269,0,bird,23.9,1.02,31.5,13.7,1311,108,51,19.4,64,0.13,0.00E+00,50,154.1266
10303,tgb,437330,7877568,0,bird,20.6,1.1,29.4,10.8,1493,104,71,19.2,46,0.23,1.32E+01,100,414.8024
10304,tgb,438413,7877172,0,bird,20.6,1.1,29.4,10.8,1495,104,72,19.2,46,0.23,2.95E+01,25,938.7993
10051,tgb,318817,8165777,0,bird,19.9,0.94,28.2,11,1695,91,97,19,43,0.26,3.68E+01,89,1169.337
10305,tgb,437566,7877107,0,bird,20.7,1.1,29.5,10.9,1456,104,68,19.3,47,0.22,1.12E+00,0,235.2956
10306,tgb,436615,7873279,0,bird,21.1,1.1,29.8,11.1,1308,105,58,19.4,53,0.17,1.25E+01,26,292.9966
10307,tgb,437901,7872928,0,bird,21.7,1.08,30.2,11.6,1214,107,51,19.5,58,0.14,2.08E+01,0,1086.6
10310,tgb,290777,8201238,0,bird,18.5,0.96,27,10,2121,84,147,18.6,30,0.44,7.31E+00,0,292.1643
10312,tgb,315541,8173821,0,bird,17.7,0.97,26.3,9.6,2667,78,206,18.2,18,0.67,1.55E+01,63,344.5388
10313,tgb,319918,8166577,0,bird,21.2,0.92,29.3,12,1410,98,66,19.4,57,0.15,3.67E+01,73,762.3228
10314,tgb,315834,8166499,0,bird,18.6,0.96,27.1,10,2158,83,149,18.6,28,0.47,6.10E+00,2,871.6645
10316,tgb,318917,8165677,0,bird,20,0.94,28.3,11,1676,91,95,19,43,0.25,2.78E+01,93,1048.136
10317,tgb,315817,8164077,0,bird,18.8,0.96,27.3,10.1,2070,84,139,18.7,30,0.44,2.27E+01,53,574.9208
10319,tgb,382417,8108876,0,bird,19,0.91,26.9,11.5,3740,71,313,17.7,5,0.91,1.59E+01,100,1523.149
10052,tgb,314895,8165712,0,bird,19.3,0.96,27.7,10.4,1845,88,114,18.9,37,0.34,1.04E+01,100,430.8932
10320,tgb,345457,8101138,0,bird,20.5,0.94,29.2,11.1,1281,99,56,19.5,55,0.16,8.62E+00,49,137.797
10321,tgb,359467,8097777,0,bird,20,0.93,28.4,11.2,1976,83,132,18.7,31,0.42,1.43E+01,0,320.6758
10322,tgb,338467,8093577,0,bird,20,0.97,29,10.2,1263,94,61,19.4,51,0.18,1.88E+00,0,65.284
10323,tgb,355320,8092830,0,bird,19.9,0.94,28.5,10.9,1781,84,116,18.9,34,0.37,5.73E-01,0,86.34234
10324,tgb,354325,8088261,0,bird,19.8,0.95,28.4,10.7,1834,81,126,18.8,31,0.41,0.00E+00,0,187.7845
10325,tgb,350431,8087526,0,bird,20.2,0.95,28.9,10.8,1566,86,96,19.1,39,0.3,0.00E+00,50,19.15724
10326,tgb,355012,8087098,0,bird,19.8,0.95,28.5,10.8,1890,80,133,18.7,30,0.43,8.90E+00,68,141.7251
10328,tgb,352616,8084377,0,bird,20,0.96,28.7,10.7,1773,81,121,18.9,33,0.39,5.02E+00,14,172.0639
10329,tgb,340716,8083733,0,bird,19.7,0.98,28.7,10,1524,83,98,19.1,37,0.33,3.42E+01,49,369.4117
10330,tgb,340867,8083335,0,bird,19.8,0.98,28.8,10.1,1496,84,94,19.1,38,0.31,8.25E+00,56,276.8664
10053,tgb,317517,8165589,0,bird,19.6,0.95,28,10.7,1777,89,107,18.9,39,0.3,3.35E+01,87,996.9548
10334,tgb,347630,8079206,0,bird,20,0.97,28.8,10.4,1709,79,119,18.9,33,0.4,5.99E-01,0,217.7085
10335,tgb,347777,8079238,0,bird,19.9,0.97,28.8,10.4,1713,79,120,18.9,32,0.4,5.80E-02,0,199.3138
10336,tgb,363917,8078778,0,bird,19.6,0.95,28.1,10.8,2901,69,247,18,13,0.76,1.23E+01,42,333.4786
10338,tgb,365266,8078702,0,bird,20,0.95,28.4,11.2,3025,68,256,18,13,0.76,4.72E-01,23,173.626
10339,tgb,364054,8078632,0,bird,19.6,0.95,28,10.8,2920,69,249,18,12,0.77,3.24E+00,100,310.0419
10340,tgb,367913,8078623,0,bird,20.1,0.94,28.4,11.4,3188,68,270,17.9,11,0.79,8.12E+00,76,306.4392
10342,tgb,368816,8078403,0,bird,20.3,0.94,28.6,11.5,3230,68,272,17.9,12,0.78,1.14E+01,17,375.196
10345,tgb,366916,8077328,0,bird,20.5,0.94,28.8,11.6,3110,69,258,18,14,0.74,2.62E+01,55,517.0068
10346,tgb,349417,8076627,0,bird,19.8,0.97,28.6,10.4,1901,76,143,18.7,28,0.48,0.00E+00,0,96.27045
10347,tgb,336836,8076340,0,bird,18.3,1,27.3,9.1,1937,77,147,18.7,23,0.57,3.03E+01,100,865.2491
10058,tgb,315819,8164870,0,bird,19.2,0.96,27.6,10.3,1914,87,122,18.8,34,0.37,2.28E+01,16,646.8531
10348,tgb,328130,8074162,0,bird,19.5,1,28.6,9.5,1238,88,69,19.4,45,0.24,4.96E+00,0,201.7944
10349,tgb,339034,8072500,0,bird,18.8,1,27.7,9.400001,1823,76,141,18.7,25,0.52,1.00E+01,0,475.343
10351,tgb,339067,8068350,0,bird,18,1.01,27.1,8.900001,2233,73,181,18.4,16,0.69,2.84E+00,0,340.4189
10352,tgb,357217,8067327,0,bird,20.1,0.97,28.7,10.8,2761,68,238,18.1,14,0.73,6.85E+00,0,241.9773
10353,tgb,339082,8066505,0,bird,18.1,1.01,27.1,8.900001,2214,73,181,18.4,16,0.69,8.48E+00,35,242.0351
10354,tgb,357618,8064861,0,bird,20.2,0.97,28.8,10.8,2800,68,242,18.1,14,0.74,1.92E+01,86,272.2829
10355,tgb,361627,8055859,0,bird,20.4,0.97,29,11.1,2967,68,260,18,11,0.78,1.42E+01,50,300.1433
10356,tgb,362182,8055189,0,bird,20.2,0.97,28.8,11,3031,68,268,18,10,0.81,0.00E+00,63,206.388
10357,tgb,349116,8054578,0,bird,18.8,1.01,27.7,9.5,2243,73,181,18.4,17,0.67,1.79E+01,100,565.0177
10358,tgb,352416,8043678,0,bird,21.4,0.9899999,30.1,11.4,2248,74,181,18.5,23,0.55,8.65E+00,100,757.8074
10001,tgb,310186,8243704,0,bird,19.5,0.91,27.1,12,2744,81,220,18.2,24,0.55,1.41E+01,100,1614.348
10059,tgb,316086,8164872,0,bird,19,0.96,27.5,10.2,1985,86,130,18.7,32,0.4,1.13E+01,17,430.8271
10359,tgb,352716,8043078,0,bird,21.5,0.98,30.2,11.5,2254,75,181,18.5,24,0.55,3.74E+00,98,821.8376
10362,tgb,344506,8037408,0,bird,19.6,1.02,28.7,9.8,1948,74,154,18.7,22,0.57,0.00E+00,100,139.2444
10364,tgb,343992,8037328,0,bird,19.7,1.02,28.7,9.8,1918,74,151,18.7,23,0.56,1.39E+01,53,253.083
10371,tgb,347604,8009209,0,bird,20.3,1.04,29.4,10.2,1563,78,121,19.1,31,0.42,9.45E+00,0,362.1823
10375,tgb,369317,7986478,0,bird,20.8,1.03,29.6,11,1586,89,118,19.1,35,0.37,1.42E-01,0,182.877
10379,tgb,373617,7984578,0,bird,19.6,1.05,28.5,10.2,2051,80,169,18.6,21,0.58,1.23E+00,50,216.2152
10387,tgb,408824,7913874,0,bird,22.3,1.05,30.7,12.3,1455,103,67,19.3,52,0.19,4.17E+01,76,1275.044
10394,tgb,414579,7905410,0,bird,18.9,1.12,28,9.5,2708,95,166,18.3,15,0.71,1.82E+01,92,755.4204
10396,tgb,411457,7901683,0,bird,20,1.1,29,10.3,1767,100,96,19,35,0.35,1.63E+01,19,507.0799
10397,tgb,413282,7899141,0,bird,19.4,1.12,28.6,9.900001,2221,98,128,18.6,24,0.53,0.00E+00,50,106.132
10060,tgb,315938,8164779,0,bird,19.1,0.96,27.5,10.3,1948,86,125,18.8,33,0.38,9.27E+00,0,464.6149
10400,tgb,416699,7897911,0,bird,19.3,1.12,28.4,9.8,2350,98,138,18.5,22,0.58,8.54E-01,100,215.0116
10406,tgb,410217,7896779,0,bird,19.3,1.13,28.6,9.7,2152,98,125,18.7,25,0.52,5.31E+00,33,245.7743
10407,tgb,409117,7895079,0,bird,19.5,1.13,28.7,9.7,2012,98,115,18.8,28,0.46,1.28E+00,100,263.7613
10409,tgb,283936,8207073,0,bird,18.2,0.97,26.7,9.7,2215,84,157,18.6,28,0.48,6.30E+00,23,182.4171
10410,tgb,296008,8197095,0,bird,19.3,0.96,27.6,10.6,1874,88,120,18.8,37,0.33,2.39E+01,65,461.816
10411,tgb,321262,8191077,0,bird,23.1,0.85,30.1,15,2213,90,122,18.7,43,0.26,1.79E+01,85,370.3134
10412,tgb,315267,8173877,0,bird,17.7,0.97,26.2,9.5,2680,78,207,18.2,17,0.67,1.46E+01,87,427.6166
10413,tgb,315516,8172377,0,bird,18.3,0.96,26.8,9.900001,2362,81,172,18.4,24,0.54,4.31E+01,15,846.0289
10415,tgb,316218,8169580,0,bird,19,0.95,27.4,10.3,2041,85,136,18.7,31,0.42,1.94E+01,85,552.5839
10417,tgb,315917,8167977,0,bird,18.7,0.96,27.1,10.1,2169,83,150,18.6,28,0.47,2.83E+01,100,611.4303
10061,tgb,315875,8164701,0,bird,19.1,0.96,27.6,10.3,1941,86,125,18.8,33,0.38,5.77E+00,0,509.1562
10419,tgb,322650,8166834,0,bird,22.1,0.9,29.9,13,1385,101,60,19.4,61,0.13,0.00E+00,50,71.85402
10420,tgb,314618,8166477,0,bird,19.5,0.95,27.9,10.6,1760,89,105,18.9,39,0.3,1.20E+01,0,518.9326
10421,tgb,319516,8166477,0,bird,20.6,0.93,28.8,11.6,1519,95,78,19.2,51,0.19,1.58E+01,100,1340.45
10423,tgb,319017,8165477,0,bird,20.1,0.94,28.3,11.1,1657,91,93,19.1,44,0.25,1.42E+01,83,915.6276
10424,tgb,319642,8165025,0,bird,20.2,0.94,28.4,11.2,1631,92,90,19.1,45,0.23,4.87E+01,52,942.6224
10425,tgb,323202,8164686,0,bird,22.1,0.9,29.9,13,1356,102,57,19.5,63,0.12,2.30E+00,16,115.2259
10427,tgb,321046,8163715,0,bird,22.1,0.91,30,12.8,1288,104,52,19.5,65,0.11,2.19E+00,0,264.8962
10428,tgb,320555,8162266,0,bird,22.1,0.91,30,12.7,1254,105,49,19.6,66,0.11,9.82E+00,9,355.6909
10431,tgb,349354,8117765,0,bird,20.8,0.92,29.2,11.6,1500,96,73,19.2,50,0.19,1.08E+01,32,223.5084
10432,tgb,352420,8115820,0,bird,20.2,0.92,28.6,11.4,1693,91,94,19,41,0.27,1.09E+01,0,716.7482
10063,tgb,316017,8164677,0,bird,19,0.96,27.5,10.2,1976,86,129,18.7,32,0.4,1.58E+01,14,440.9013
10436,tgb,380920,8110074,0,bird,19.3,0.91,27.2,11.7,3501,72,286,17.8,8,0.85,3.75E+01,80,1480.199
10441,tgb,357497,8100333,0,bird,20,0.93,28.4,11.2,1841,86,117,18.8,34,0.36,5.82E+00,5,135.5876
10442,tgb,361358,8096554,0,bird,20.5,0.93,28.8,11.7,2033,83,135,18.7,32,0.4,2.19E+01,11,1200.952
10443,tgb,360118,8096170,0,bird,19.7,0.94,28.1,11,2133,80,151,18.6,27,0.49,4.25E+00,9,188.9735
10446,tgb,378616,8091277,0,bird,15.7,1,24.2,8.5,7464,63,743,16.9,0,1,4.99E+01,88,2010.432
10447,tgb,378516,8091177,0,bird,15.8,0.9899999,24.3,8.6,7216,63,715,17,0,1,3.64E+01,85,1571.094
10448,tgb,378594,8091172,0,bird,15.7,1,24.2,8.5,7519,63,749,16.9,0,1,2.47E+01,100,2082.874
10449,tgb,378217,8090977,0,bird,15.7,1,24.2,8.5,7406,63,737,16.9,0,1,6.18E+00,100,1516.638
10453,tgb,380157,8089958,0,bird,18.4,0.95,26.6,10.6,4157,68,369,17.5,1,0.98,2.61E+01,100,1679.616
10455,tgb,356620,8089230,0,bird,19.9,0.95,28.5,10.9,1925,80,134,18.7,30,0.43,8.12E+00,39,198.3053
10064,tgb,317017,8164477,0,bird,18.9,0.96,27.3,10.2,2055,85,137,18.7,30,0.43,6.18E+00,100,640.7847
10456,tgb,347765,8088705,0,bird,20,0.96,28.8,10.6,1485,88,87,19.2,41,0.28,4.56E+00,90,183.6328
10457,tgb,348208,8088709,0,bird,19.9,0.96,28.7,10.6,1505,87,90,19.1,41,0.28,1.25E+00,100,271.7241
10458,tgb,354440,8088508,0,bird,19.8,0.95,28.4,10.7,1840,81,126,18.8,31,0.42,0.00E+00,0,169.4521
10459,tgb,348214,8087940,0,bird,20.2,0.96,28.9,10.7,1469,88,85,19.2,43,0.26,0.00E+00,0,102.8397
10460,tgb,357166,8085227,0,bird,19.9,0.95,28.5,10.9,2083,77,155,18.6,26,0.5,0.00E+00,50,54.17564
10461,tgb,340633,8083241,0,bird,19.9,0.98,28.9,10.1,1462,85,89,19.2,40,0.29,4.75E+00,71,208.0601
10462,tgb,340692,8083057,0,bird,19.9,0.98,28.9,10.1,1467,85,90,19.2,40,0.29,4.02E+00,45,159.5055
10463,tgb,354309,8082144,0,bird,20,0.96,28.7,10.8,1964,77,144,18.7,28,0.47,0.00E+00,50,104.2545
10464,tgb,349892,8080483,0,bird,19.9,0.97,28.7,10.5,1731,80,121,18.9,32,0.4,0.00E+00,50,83.85106
10465,tgb,367314,8079682,0,bird,20,0.94,28.3,11.3,3108,68,263,17.9,12,0.78,4.20E+00,50,152.8103
10065,tgb,316017,8164377,0,bird,18.8,0.96,27.3,10.1,2055,85,137,18.7,30,0.43,2.46E+01,73,587.886
10466,tgb,367346,8079319,0,bird,20,0.94,28.3,11.3,3128,68,265,17.9,12,0.78,6.32E-01,100,251.9147
10467,tgb,366409,8078293,0,bird,19.9,0.95,28.3,11.1,3109,68,265,17.9,11,0.79,1.04E+00,50,344.0799
10468,tgb,352592,8074693,0,bird,20,0.97,28.7,10.6,2170,72,173,18.5,23,0.56,1.15E+01,35,150.0966
10469,tgb,378867,8072776,0,bird,22.7,0.9,30.3,13.9,3609,76,289,17.8,13,0.75,4.27E+00,0,724.1457
10470,tgb,337266,8072024,0,bird,18.3,1.01,27.3,9,1990,75,155,18.6,21,0.6,2.11E+01,56,432.8972
10471,tgb,345238,8071626,0,bird,19.4,0.98,28.3,9.900001,2007,73,160,18.6,24,0.55,2.89E+01,51,244.2519
10472,tgb,357605,8066706,0,bird,19.9,0.97,28.5,10.6,2803,68,244,18.1,13,0.75,9.39E+00,73,264.335
10473,tgb,364287,8060081,0,bird,20.8,0.96,29.3,11.6,3054,69,261,18,13,0.76,1.85E+00,100,1097.706
10474,tgb,361316,8056378,0,bird,20.8,0.97,29.3,11.3,2887,70,248,18.1,14,0.74,5.24E+00,0,456.6082
10475,tgb,368266,8055278,0,bird,21.8,0.95,30,12.4,3121,73,264,17.9,13,0.74,5.58E+01,0,831.0524
10066,tgb,315817,8164177,0,bird,18.8,0.96,27.3,10.1,2048,85,137,18.7,30,0.43,2.03E+01,39,612.0384
10476,tgb,362516,8054678,0,bird,20.1,0.98,28.7,10.9,3062,68,272,18,9,0.82,5.30E+00,84,234.8531
10477,tgb,368016,8054178,0,bird,21.7,0.95,29.9,12.3,3102,73,263,18,13,0.75,8.69E+00,0,379.5023
10478,tgb,356517,8053878,0,bird,19.6,0.9899999,28.4,10.3,2726,69,237,18.1,12,0.77,1.00E+01,67,305.2098
10480,tgb,355016,8053378,0,bird,19.4,0.9899999,28.2,10.1,2618,70,225,18.2,13,0.75,2.98E+00,0,279.7874
10481,tgb,368616,8053278,0,bird,21.8,0.95,30,12.4,3118,74,264,17.9,13,0.75,8.53E-01,0,284.0757
10482,tgb,355716,8053078,0,bird,19.5,0.9899999,28.3,10.2,2666,70,230,18.2,12,0.76,7.29E+00,69,382.6539
10484,tgb,369850,8052794,0,bird,21.7,0.95,29.9,12.4,3163,73,270,17.9,12,0.77,6.58E+00,100,388.5074
10485,tgb,370130,8052787,0,bird,21.8,0.95,30,12.5,3175,74,269,17.9,12,0.76,1.63E+01,41,282.4553
10486,tgb,369117,8052678,0,bird,21.5,0.95,29.7,12.2,3137,72,269,17.9,12,0.77,8.76E+00,86,417.6996
10487,tgb,347153,8052427,0,bird,18.6,1.01,27.6,9.3,2179,74,172,18.5,18,0.66,8.00E-01,0,398.5562
10068,tgb,355712,8092452,0,bird,19.8,0.95,28.4,10.9,1844,83,123,18.8,32,0.4,1.09E+01,100,177.4429
10488,tgb,347417,8052278,0,bird,18.6,1.01,27.5,9.3,2229,73,177,18.5,17,0.67,1.93E+01,0,536.2602
10489,tgb,347317,8051978,0,bird,18.3,1.02,27.3,9.1,2414,72,197,18.3,13,0.74,3.18E+01,56,595.7667
10490,tgb,355313,8049107,0,bird,19.9,0.9899999,28.7,10.4,2601,70,225,18.2,14,0.73,2.06E+00,100,294.3178
10491,tgb,348096,8038565,0,bird,19.9,1.01,28.9,10.1,2157,72,179,18.5,19,0.63,1.61E+01,31,233.5209
10492,tgb,348785,8026482,0,bird,20.1,1.02,29.1,10.1,2148,71,184,18.5,18,0.64,8.80E-01,0,263.5033
10493,tgb,362516,7994878,0,bird,19.1,1.06,28.2,9.5,2133,76,179,18.5,17,0.65,1.88E+01,89,981.6471
10494,tgb,362616,7994278,0,bird,19.7,1.05,28.8,10,1870,79,155,18.8,24,0.53,2.56E+01,59,664.0738
10499,tgb,367116,7989478,0,bird,20.8,1.03,29.6,10.9,1574,88,118,19.1,35,0.37,0.00E+00,50,111.7408
10500,tgb,367600,7988389,0,bird,20.8,1.03,29.6,10.9,1565,89,117,19.1,35,0.36,0.00E+00,50,64.27286
10501,tgb,369616,7986678,0,bird,20.6,1.04,29.4,10.8,1634,88,125,19,33,0.39,1.22E+01,100,308.8608
10070,tgb,378316,8091177,0,bird,15.8,1,24.3,8.6,7327,63,727,17,0,1,3.09E+01,100,1506.908
10503,tgb,370517,7986078,0,bird,20.5,1.04,29.3,10.7,1691,87,132,19,31,0.41,2.18E+01,4,741.2746
10506,tgb,373716,7984678,0,bird,19.6,1.05,28.5,10.1,2065,80,170,18.6,21,0.59,1.56E+01,62,219.9227
10507,tgb,373817,7984678,0,bird,19.5,1.05,28.4,10.1,2098,80,174,18.6,20,0.6,1.16E+01,100,398.0804
10508,tgb,372466,7981559,0,bird,19.5,1.06,28.5,10,2007,81,164,18.7,22,0.57,1.29E+01,0,449.1525
10509,tgb,425043,7963163,0,bird,21.4,0.98,29.2,12.8,2476,91,157,18.5,26,0.5,2.80E+01,0,2156.637
10513,tgb,368016,7956478,0,bird,20.7,1.07,29.8,10.6,1320,92,88,19.4,43,0.28,6.63E+00,100,296.3596
10519,tgb,373504,7944101,0,bird,21.8,1.06,30.7,11.5,1222,98,66,19.6,53,0.19,1.63E+02,51,1613.125
10527,tgb,408827,7913259,0,bird,22.3,1.05,30.7,12.3,1449,103,66,19.3,52,0.19,3.80E+01,32,1100.685
10528,tgb,412139,7906284,0,bird,19.2,1.11,28.3,9.8,2406,97,144,18.5,20,0.6,1.25E+01,50,222.3511
10529,tgb,414516,7905679,0,bird,19.2,1.11,28.3,9.8,2482,97,149,18.4,19,0.63,3.23E+01,55,690.4651
10080,tgb,378127,8090830,0,bird,15.7,1,24.2,8.5,7399,63,736,16.9,0,1,1.33E+01,100,1949.767
10530,tgb,414515,7905179,0,bird,19,1.12,28.1,9.6,2619,96,159,18.4,17,0.68,1.12E+01,62,464.9634
10531,tgb,411234,7903040,0,bird,19.5,1.11,28.6,9.900001,2160,98,125,18.7,25,0.51,2.56E+01,100,770.2947
