siteid,spid,x,y,occ,group,disturb,mi,rainann,rugged,soildepth,soilfert,solrad,tempann,topo,vegsys,cti,raindq,tempmin
10225,tgb,152.1914,-31.3664,0,db,1,94,1992,77,1039,2,73,123,47,2,1069,234,-16
10243,tgb,152.2001,-31.2085,0,db,1,92,1508,42,930,2,81,124,31,2,1089,192,-12
10120,tgb,152.0986,-29.349,0,db,1,93,1554,87,920,2,62,107,72,3,1039,246,0
10245,tgb,152.201,-31.3475,0,db,3,93,1394,64,1090,2,89,177,-31,3,1889,180,65
10246,tgb,152.2016,-31.2807,0,db,2,94,1432,85,1059,2,83,148,35,2,1089,180,6
10254,tgb,152.2111,-31.3936,0,db,1,94,1508,68,1090,2,90,170,-28,2,1739,198,56
10256,tgb,152.2154,-31.3909,0,db,1,94,1662,82,1059,2,68,160,-7,2,1209,222,33
10259,tgb,152.2174,-31.3981,0,db,1,93,1438,57,1129,2,86,177,-10,2,1149,186,65
10262,tgb,152.2217,-31.3891,0,db,1,95,1712,104,1009,4,65,167,-38,2,1489,228,49
10265,tgb,152.2376,-31.1068,0,db,1,93,1538,41,970,2,82,120,47,2,1089,216,-2
10266,tgb,152.2408,-31.0996,0,db,1,93,1422,59,1059,2,86,125,10,2,1079,186,-12
10272,tgb,152.2492,-31.1006,0,db,1,94,1380,102,1019,2,91,126,40,2,1089,174,-18
10273,tgb,152.2494,-31.2079,0,db,1,94,1746,17,1100,2,86,122,6,1,1249,228,-6
10121,tgb,152.1042,-29.2949,0,db,2,93,1514,64,1049,2,76,109,58,1,1069,234,1
10278,tgb,152.2563,-29.4854,0,db,1,93,1976,40,1120,2,87,133,-6,6,1379,276,6
10289,tgb,152.2661,-30.4014,0,db,1,88,1016,24,1090,1,89,112,-5,6,1369,162,0
10290,tgb,152.2661,-30.3923,0,db,1,84,978,10,1059,1,92,114,-3,6,1309,156,0
10307,tgb,152.2805,-31.1179,0,db,1,93,1452,93,1019,2,86,140,-44,2,1399,174,-8
10333,tgb,152.3024,-31.1415,0,db,1,94,1904,17,1070,2,83,121,9,1,1199,258,-3
10340,tgb,152.3067,-31.2678,0,db,3,92,1318,56,1049,2,86,174,-4,2,1359,162,64
10344,tgb,152.3093,-31.1992,0,db,1,94,2036,25,1090,2,81,121,13,2,1229,270,-4
10349,tgb,152.3126,-31.1812,0,db,1,95,2072,22,1059,2,78,122,-14,1,1479,282,-4
10351,tgb,152.3132,-31.0937,0,db,1,93,1592,84,899,2,58,126,76,2,1049,198,-17
10358,tgb,152.3157,-31.1866,0,db,1,94,1988,26,1139,2,84,122,4,1,1329,258,-5
10011,tgb,151.293,-32.1423,0,db,1,90,1346,63,1039,2,85,127,-23,2,1489,276,-15
10122,tgb,152.1059,-29.9203,0,db,2,78,944,13,990,2,87,133,-6,9,1389,138,-4
10361,tgb,152.3168,-31.1767,0,db,1,94,2044,38,1039,2,82,122,4,2,1269,270,-3
10365,tgb,152.3179,-31.1749,0,db,1,93,1984,48,1039,2,89,123,-7,2,1249,258,-7
10374,tgb,152.325,-28.7555,0,db,2,81,1114,51,1029,2,87,168,-7,2,1499,162,39
10381,tgb,152.3308,-31.1308,0,db,1,94,1968,19,1129,2,83,121,1,2,1299,264,-3
10393,tgb,152.3362,-29.6928,0,db,1,90,1462,45,1090,2,82,155,22,2,1119,198,13
10395,tgb,152.3389,-31.175,0,db,2,95,2216,40,1100,2,82,123,-15,1,1259,300,-4
10398,tgb,152.3402,-31.1371,0,db,1,95,1966,26,1110,2,84,124,-5,2,1539,258,-9
10402,tgb,152.3472,-31.1832,0,db,2,95,2402,41,1100,2,80,118,9,1,1159,342,-2
10409,tgb,152.3505,-31.1706,0,db,2,95,2322,33,1129,2,77,118,7,1,1179,330,-2
10411,tgb,152.3526,-31.1652,0,db,2,94,2318,29,1139,2,85,118,-17,1,1599,324,-2
10123,tgb,152.1083,-30.8082,0,db,1,65,798,85,930,2,86,166,3,4,1129,114,37
10414,tgb,152.3558,-29.3974,0,db,1,92,1780,43,1019,2,86,146,2,1,1229,240,8
10415,tgb,152.361,-31.1661,0,db,2,94,2394,30,1100,2,86,115,6,1,1179,342,-2
10416,tgb,152.3642,-29.3776,0,db,1,93,1778,35,1059,2,86,143,-2,1,1229,240,8
10417,tgb,152.366,-29.429,0,db,1,83,1414,73,980,2,90,170,-13,1,1399,192,37
10424,tgb,152.3741,-29.6927,0,db,1,84,1428,54,1009,2,85,157,32,3,1119,192,20
10432,tgb,152.3816,-31.3792,0,db,1,94,1432,65,970,2,81,169,18,2,1159,186,57
10433,tgb,152.382,-28.9878,0,db,1,74,1076,76,1039,2,84,169,-22,2,1239,150,36
10452,tgb,152.4019,-31.1645,0,db,1,95,2328,28,1190,2,82,123,-5,1,1309,312,-4
10456,tgb,152.405,-29.28,0,db,1,75,1192,36,1059,2,81,173,10,3,1189,168,40
10457,tgb,152.4051,-31.1645,0,db,1,95,2330,17,1200,2,81,123,-1,1,1339,312,-4
10124,tgb,152.1094,-28.9339,0,db,2,82,1074,13,1080,1,90,135,-8,6,1509,174,11
10459,tgb,152.4051,-31.1591,0,db,1,95,2304,20,1190,2,84,123,9,1,1209,306,-5
10464,tgb,152.4083,-31.1411,0,db,1,93,1870,96,1059,2,93,143,63,2,1009,234,0
10465,tgb,152.4083,-29.2702,0,db,1,75,1216,53,1009,2,87,176,18,2,1149,168,42
10471,tgb,152.4141,-29.2984,0,db,1,74,1288,70,1009,2,96,170,-26,2,1309,174,38
10472,tgb,152.4143,-29.2714,0,db,1,75,1186,34,1080,2,90,173,20,3,1109,162,41
10473,tgb,152.4171,-30.9165,0,db,3,86,1176,24,1059,2,86,180,3,3,1189,156,66
10478,tgb,152.4219,-31.1619,0,db,2,95,2348,49,1129,2,78,122,23,1,1109,318,-2
10480,tgb,152.4253,-29.1118,0,db,2,86,1394,20,1000,2,89,154,13,2,1199,186,21
10483,tgb,152.4287,-30.1901,0,db,3,90,1260,22,1080,2,87,115,7,3,1309,186,1
10493,tgb,152.4455,-29.6118,0,db,3,93,1794,78,1070,2,73,140,9,2,1279,234,3
10126,tgb,152.1182,-29.2336,0,db,3,89,1228,25,1090,2,89,128,-11,3,1419,186,8
10508,tgb,152.4658,-29.8263,0,db,3,85,1288,36,1039,2,82,156,11,2,1169,174,19
10510,tgb,152.4691,-31.1648,0,db,3,93,2066,102,1049,2,88,143,11,2,1089,264,-2
10513,tgb,152.4729,-28.684,0,db,3,78,1140,48,1029,2,92,171,-20,2,1649,150,38
10517,tgb,152.479,-28.6849,0,db,3,83,1226,54,1039,4,91,168,-22,2,1359,168,40
10528,tgb,152.4928,-30.0442,0,db,3,71,1112,73,990,2,92,160,-2,3,1249,144,27
10533,tgb,152.499,-28.2567,0,db,2,91,1568,51,1110,2,88,158,-3,2,1279,222,44
10538,tgb,152.5031,-28.3148,0,db,3,83,1172,53,1019,2,92,159,-39,1,1779,162,44
10544,tgb,152.5106,-30.0099,0,db,1,88,1282,42,1029,2,84,147,2,2,1269,156,-2
10562,tgb,152.5351,-29.5118,0,db,3,88,1470,37,1019,2,84,164,10,2,1229,192,35
10566,tgb,152.5407,-31.7515,0,db,3,94,1544,88,1019,2,75,172,-11,2,1249,240,62
10127,tgb,152.1206,-32.517,0,db,3,82,1400,7,1129,2,85,169,1,2,1349,276,51
10568,tgb,152.5429,-28.3485,0,db,3,77,1080,29,959,2,91,166,-5,2,1339,150,48
10572,tgb,152.5479,-29.4936,0,db,3,87,1500,34,1070,2,87,162,11,2,1199,198,33
10576,tgb,152.5486,-29.5031,0,db,3,87,1464,9,1059,2,88,166,6,2,1229,192,37
10577,tgb,152.5593,-28.3389,0,db,3,83,1096,54,1009,2,81,163,26,1,1169,150,50
10581,tgb,152.5652,-28.5088,0,db,2,78,1132,27,1029,2,91,168,31,2,1149,150,47
10584,tgb,152.5799,-30.0355,0,db,2,86,1346,26,1110,2,87,146,23,3,1109,174,-1
10586,tgb,152.5807,-30.1013,0,db,2,85,1312,25,1100,2,89,151,12,3,1199,168,5
10589,tgb,152.5829,-30.0815,0,db,3,89,1424,44,1059,2,84,143,14,2,1149,186,-3
10593,tgb,152.5882,-30.0328,0,db,2,84,1348,46,1019,2,86,148,-1,3,1449,180,-2
10599,tgb,152.5942,-30.5941,0,db,2,94,2622,50,1159,4,81,141,2,2,1269,372,-7
10128,tgb,152.1217,-31.402,0,db,1,92,1306,29,1120,2,88,141,-18,2,1399,156,-5
10601,tgb,152.5995,-30.5734,0,db,2,92,2422,67,1049,2,88,154,-26,2,1189,342,18
10608,tgb,152.6228,-30.4877,0,db,3,92,2212,85,1090,2,94,152,-26,2,1169,312,12
10609,tgb,152.6234,-30.596,0,db,2,94,2388,67,1139,2,68,153,43,2,1089,336,16
10617,tgb,152.6577,-30.0357,0,db,3,84,1266,22,1100,2,91,158,4,3,1359,180,25
10629,tgb,152.6817,-30.1093,0,db,2,85,1350,19,1120,2,90,157,-1,2,1279,192,23
10633,tgb,152.6845,-28.4256,0,db,2,78,1214,51,1019,2,95,169,4,2,1259,156,44
10636,tgb,152.6865,-30.0558,0,db,2,85,1286,23,1120,2,90,161,3,2,1279,180,33
10639,tgb,152.6894,-30.1811,0,db,2,85,1290,56,1029,2,79,158,16,2,1209,186,26
10641,tgb,152.6914,-28.5145,0,db,3,85,1344,58,1070,2,85,170,-2,2,1239,168,42
10644,tgb,152.701,-30.1432,0,db,2,84,1244,55,990,2,82,165,20,2,1169,174,41
10129,tgb,152.1217,-31.3948,0,db,1,90,1268,29,1080,2,90,144,-14,2,1899,156,0
10646,tgb,152.7018,-30.8904,0,db,3,80,1122,21,1100,2,89,183,10,9,1179,162,70
10649,tgb,152.7093,-30.4708,0,db,3,93,1986,71,1070,2,67,161,28,2,1099,276,34
10652,tgb,152.7151,-28.432,0,db,3,79,1164,27,1070,2,95,177,-9,2,1469,150,44
10654,tgb,152.7177,-28.5024,0,db,1,87,1472,37,1139,2,91,169,0,2,1219,186,44
10659,tgb,152.7218,-28.8454,0,db,3,79,1188,28,1009,2,87,177,-5,2,1169,138,46
10673,tgb,152.7419,-28.49,0,db,2,91,1616,61,1100,2,85,163,-4,1,1249,204,50
10678,tgb,152.7432,-28.4972,0,db,2,90,1464,62,1070,2,80,169,-21,1,1339,180,44
10689,tgb,152.7548,-29.1336,0,db,2,77,1162,25,1059,1,87,180,1,7,1399,144,49
10692,tgb,152.7608,-28.5259,0,db,3,85,1342,30,1090,2,88,176,-1,2,1499,162,46
10695,tgb,152.764,-30.6992,0,db,2,86,1434,53,1039,2,81,182,-17,3,1199,210,76
10130,tgb,152.1219,-29.2769,0,db,3,87,1240,42,1059,2,87,134,6,2,1219,192,8
10696,tgb,152.767,-28.5223,0,db,3,88,1444,54,1019,2,83,170,-8,2,1459,180,44
10705,tgb,152.7766,-28.5098,0,db,3,92,1778,57,1110,5,84,155,13,1,1179,222,38
10710,tgb,152.7802,-28.5598,0,db,3,84,1330,31,1129,2,90,178,-6,2,1239,156,47
10715,tgb,152.7831,-30.0901,0,db,3,87,1390,44,1090,2,87,157,7,3,1199,210,27
10731,tgb,152.8054,-30.3636,0,db,1,94,2466,66,1179,2,76,149,15,1,1069,372,7
10746,tgb,152.8392,-29.3226,0,db,2,84,1364,59,1059,1,87,168,30,3,1079,180,46
10747,tgb,152.8402,-30.0929,0,db,3,85,1394,47,920,2,89,168,26,3,1119,204,49
10749,tgb,152.842,-30.2246,0,db,3,89,1628,48,1110,2,84,157,-22,1,1459,246,26
10751,tgb,152.8421,-30.221,0,db,3,89,1636,47,1129,2,85,151,1,1,1139,252,10
10752,tgb,152.8467,-30.5423,0,db,3,85,1584,25,1129,2,87,185,13,2,1179,210,75
10131,tgb,152.1241,-30.7957,0,db,1,73,992,80,819,2,77,147,21,1,1099,138,0
10756,tgb,152.8599,-30.0685,0,db,2,83,1320,22,1090,2,89,177,3,3,1249,174,63
10757,tgb,152.8651,-30.0694,0,db,2,84,1380,55,1080,2,89,174,-9,2,1249,192,59
10766,tgb,152.8863,-30.592,0,db,3,91,1618,83,1039,2,83,179,30,2,1089,216,74
10768,tgb,152.8989,-30.546,0,db,3,86,1586,56,1139,2,90,185,30,2,1099,210,82
10776,tgb,152.9168,-30.2482,0,db,3,92,2014,14,1190,2,86,152,10,1,1209,306,14
10795,tgb,152.949,-30.3096,0,db,3,94,2330,104,1019,2,56,153,21,2,1099,330,20
10798,tgb,152.9564,-30.1381,0,db,3,80,1364,25,1149,2,92,186,-25,2,1389,180,74
10800,tgb,152.9584,-30.2572,0,db,3,90,1732,63,1059,3,83,177,2,2,1139,216,67
10801,tgb,152.9585,-30.1733,0,db,3,82,1426,41,1100,2,88,182,-9,2,1299,192,72
10805,tgb,152.9626,-30.1733,0,db,3,81,1420,32,1100,2,89,183,1,2,1149,192,74
10132,tgb,152.1284,-29.4828,0,db,3,86,1316,50,939,2,94,133,-2,3,1339,198,5
10816,tgb,152.9833,-30.8023,0,db,3,84,1370,10,1299,1,88,184,-2,5,1689,216,66
10830,tgb,153.0204,-28.4151,0,db,2,86,1508,42,1080,5,96,174,-3,2,1239,168,51
10835,tgb,153.0228,-30.0831,0,db,3,88,1598,71,1080,2,80,177,-10,2,1289,204,65
10841,tgb,153.0286,-28.4133,0,db,1,89,1666,61,1080,4,90,167,-3,1,1169,192,53
10842,tgb,153.0291,-30.2229,0,db,2,85,1666,45,1129,3,90,183,-3,2,1199,216,76
10855,tgb,153.054,-30.1778,0,db,3,85,1600,22,1149,3,88,185,1,2,1209,204,78
10858,tgb,153.0571,-30.1146,0,db,2,90,1636,59,1080,2,78,171,22,2,1149,204,57
10864,tgb,153.0623,-30.1769,0,db,3,84,1592,13,1149,3,89,185,6,2,1209,198,77
10865,tgb,153.0623,-29.8395,0,db,2,87,1306,54,980,5,78,181,-9,3,1249,156,68
10872,tgb,153.0729,-30.3899,0,db,3,85,1648,1,1340,1,88,187,0,5,1039,240,71
10012,tgb,151.295,-32.1487,0,db,1,91,1392,90,1049,2,84,126,-1,3,1299,288,-16
10133,tgb,152.1293,-31.6167,0,db,1,89,1352,52,949,2,85,147,29,2,1079,186,8
10883,tgb,153.0858,-28.4747,0,db,4,91,1760,23,1159,5,85,182,6,9,1399,192,52
10896,tgb,153.1268,-30.2175,0,db,2,84,1644,29,1179,2,88,186,6,2,1169,216,79
10905,tgb,153.137,-30.1092,0,db,2,84,1604,21,1169,2,88,186,1,2,1279,204,77
10912,tgb,153.1515,-30.0748,0,db,3,83,1554,20,1159,2,88,186,3,3,1259,192,76
10913,tgb,153.1515,-30.0694,0,db,3,82,1536,17,1149,2,88,186,-10,2,1379,186,75
10918,tgb,153.1615,-29.2353,0,db,2,76,1186,0,1090,1,90,193,0,3,1619,168,71
10920,tgb,153.1635,-28.4872,0,db,3,89,1642,30,1129,5,85,180,8,2,1189,174,55
10924,tgb,153.1711,-28.4773,0,db,3,89,1608,26,1129,2,88,179,6,1,1209,174,55
10928,tgb,153.193,-28.4475,0,db,3,89,1500,11,1169,2,90,186,9,2,1259,180,52
10942,tgb,153.2239,-29.98,0,db,3,79,1384,4,1289,1,89,188,-1,5,1312,180,74
10134,tgb,152.1307,-29.3321,0,db,1,90,1280,30,1090,2,87,134,-9,3,1579,198,7
10956,tgb,153.2446,-29.9538,0,db,2,79,1384,6,1309,1,89,187,9,5,1169,180,75
10982,tgb,153.2848,-28.3995,0,db,3,91,1872,67,1190,4,96,169,-27,2,1499,210,56
10985,tgb,153.286,-28.8336,0,db,3,83,1460,35,1129,4,90,194,-26,7,1649,192,70
10987,tgb,153.287,-28.8345,0,db,3,83,1452,34,1110,4,90,195,-26,7,1669,192,71
10996,tgb,153.3048,-28.5908,0,db,3,92,2050,68,1110,5,84,180,-12,2,1259,222,59
11001,tgb,153.3108,-28.5682,0,db,1,92,2042,61,1220,5,86,183,-8,1,1279,216,57
11003,tgb,153.3119,-28.5772,0,db,1,94,2172,81,1059,5,79,170,12,2,1199,246,57
11013,tgb,153.3299,-28.7821,0,db,3,79,1274,8,1080,5,93,197,-1,7,1279,174,75
11023,tgb,153.3336,-28.6413,0,db,2,91,1860,15,1190,4,89,184,-9,1,1759,216,58
11028,tgb,153.3486,-29.4653,0,db,4,80,1452,8,1129,4,89,189,-16,3,1312,234,76
10135,tgb,152.1324,-30.0919,0,db,3,80,962,15,1039,2,90,127,-1,2,1429,150,2
11030,tgb,153.3525,-29.3886,0,db,3,82,1588,1,1330,1,88,190,0,7,1309,252,76
11031,tgb,153.3545,-29.3777,0,db,1,83,1610,1,1320,1,88,190,-1,2,1312,258,77
11037,tgb,153.3577,-29.412,0,db,3,81,1522,3,1320,1,89,189,-1,1,1459,246,75
11038,tgb,153.3577,-29.4102,0,db,1,82,1530,3,1320,1,89,190,-1,1,1289,246,76
11048,tgb,153.3628,-29.4039,0,db,1,82,1546,2,1320,1,89,189,0,1,1149,246,75
11054,tgb,153.3674,-28.3767,0,db,1,92,2082,107,850,2,83,171,31,2,1059,246,59
11057,tgb,153.3685,-28.3993,0,db,3,92,1952,33,1120,2,88,175,-8,2,1259,222,60
11064,tgb,153.3765,-28.6367,0,db,3,92,2004,48,1149,2,84,184,-10,1,1279,234,59
11065,tgb,153.3773,-28.578,0,db,3,93,2680,33,1139,2,85,167,8,2,1199,348,58
11074,tgb,153.3999,-28.8668,0,db,4,87,1746,7,1190,4,89,184,4,9,1299,246,62
10136,tgb,152.1328,-29.3239,0,db,3,88,1304,11,1090,2,87,133,-5,3,1449,198,6
11082,tgb,153.4103,-28.9046,0,db,4,88,1788,22,1120,4,85,186,-3,8,1339,252,64
11091,tgb,153.4167,-28.5778,0,db,2,93,2382,71,1080,2,88,173,25,2,1169,300,60
11092,tgb,153.4228,-28.6988,0,db,3,88,1690,26,1159,4,89,190,14,7,1169,222,68
11094,tgb,153.4238,-28.9398,0,db,3,86,1676,46,1139,2,90,189,5,2,1189,240,69
11096,tgb,153.4266,-28.6239,0,db,2,92,2106,30,1049,5,88,184,11,2,1209,258,61
11097,tgb,153.4275,-29.095,0,db,2,82,1494,2,1330,1,89,194,0,5,1309,240,78
11101,tgb,153.4361,-28.9497,0,db,3,85,1622,1,1320,1,88,196,0,5,1519,246,79
11102,tgb,153.4382,-28.9479,0,db,3,85,1614,1,1330,1,89,196,-1,5,1199,246,79
11103,tgb,153.4392,-28.947,0,db,3,85,1614,2,1330,1,89,196,-1,5,1239,246,79
11105,tgb,153.4393,-28.4821,0,db,3,93,2326,59,1110,2,84,176,29,2,1099,270,62
10137,tgb,152.1335,-29.49,0,db,3,90,1342,36,970,2,89,128,2,3,1149,204,7
11107,tgb,153.4452,-28.9135,0,db,3,87,1814,37,1159,2,89,193,-4,2,1309,258,75
11108,tgb,153.4455,-28.7457,0,db,3,84,1552,10,1129,5,89,197,-1,9,1149,228,79
