siteid,spid,x,y,occ,group,alt,asp2,ontprec,ontprec4,ontprecsd,ontslp,onttemp,onttempsd,onttmin4,ontveg,watdist
10105,tgb,-78.65633,45.54824,0,bird,453,5.90E-01,996,65,14,0.4132749,22,11026,-27,2,578989.1
11059,tgb,-79.53631,44.62705,0,bird,282,2.08E-01,984,62,12,0.91562,47,10131,-3,2,679690.8
11060,tgb,-80.33153,47.73034,0,bird,282,-9.90E-01,835,48,20,0.4029847,5,12318,-43,3,341482.6
11061,tgb,-77.58945,44.6086,0,bird,282,8.72E-01,881,66,10,0.3281635,43,10526,-5,2,694302
11062,tgb,-78.93158,44.72359,0,bird,282,-1.57E-01,976,64,11,0.07338035,44,10408,-5,3,669624.1
11063,tgb,-78.98062,44.24347,0,bird,282,1.45E-01,864,59,11,1.024802,52,10087,2,4,722805.4
11064,tgb,-80.35902,43.39258,0,bird,282,-9.91E-01,953,75,13,0.3309411,59,9748,6,5,819918.4
11065,tgb,-79.12193,44.26998,0,bird,282,9.15E-01,870,58,12,0.08105124,52,10094,2,4,719563.5
11066,tgb,-79.6211,45.62479,0,bird,282,-1.00E+00,1118,70,15,0.4041854,35,10794,-14,3,569242.1
11067,tgb,-78.6193,44.22623,0,bird,282,9.14E-01,848,61,11,0.6558131,50,10077,2,4,726338.1
11068,tgb,-81.34642,49.0982,0,bird,282,5.75E-01,914,47,22,0.06563339,-9,12747,-62,2,216030.2
10106,tgb,-77.8997,45.68477,0,bird,452,6.98E-01,889,60,17,0.3584343,19,11287,-28,2,572318.4
11069,tgb,-81.39567,43.04867,0,bird,281,9.06E-01,1001,79,10,0.05188776,62,9618,8,4,868106.1
11070,tgb,-79.63891,45.63808,0,bird,281,-1.00E+00,1117,70,15,0.6538399,35,10805,-14,3,568319.4
11071,tgb,-80.14319,43.38888,0,bird,281,-9.83E-01,926,73,13,0.3889793,60,9753,7,4,818552.5
11072,tgb,-80.67569,42.99886,0,bird,281,-6.82E-01,990,83,12,0.5015571,62,9661,9,4,865863.1
11073,tgb,-80.88608,43.03949,0,bird,281,-8.65E-01,995,81,12,0.02075511,61,9667,8,5,863038.9
11074,tgb,-79.81353,43.8307,0,bird,281,-6.46E-01,860,63,13,0.5225858,57,9857,5,4,768663.5
11075,tgb,-80.45807,43.21881,0,bird,281,-7.46E-01,969,79,12,0.3222025,61,9718,7,4,839945.5
11076,tgb,-81.5763,43.73987,0,bird,281,8.25E-01,1048,69,11,0.4005724,58,9554,4,2,795430.5
11077,tgb,-78.34379,44.34175,0,bird,280,-9.98E-01,854,62,10,0.1907883,47,10225,0,4,715695.2
11078,tgb,-78.84809,44.02131,0,bird,280,-9.01E-01,832,60,12,1.299584,55,9924,6,4,748498.6
10107,tgb,-78.36639,45.48338,0,bird,451,9.99E-01,952,63,15,2.070714,22,11038,-27,2,589021.6
11079,tgb,-79.82993,43.92756,0,bird,280,9.97E-01,865,62,12,0.0374168,56,9872,4,4,758059.3
11080,tgb,-81.52419,43.97007,0,bird,280,-7.89E-01,1075,68,14,0.1411497,56,9492,3,4,770006.3
11081,tgb,-80.14744,48.88181,0,bird,280,8.04E-01,856,45,27,0.05870429,-10,12786,-61,2,214547.5
11082,tgb,-81.57341,43.75294,0,bird,280,-7.07E-01,1050,69,11,0.281916,58,9554,4,4,794479.4
11083,tgb,-79.75,48.7,0,bird,280,-7.97E-01,862,46,29,0.04151021,-6,12770,-57,2,228866.3
11084,tgb,-80.89478,42.96505,0,bird,279,-9.54E-01,997,82,12,0.3309411,62,9643,9,4,871791.4
11085,tgb,-79.57965,44.45913,0,bird,279,-3.99E-01,933,60,11,0.8728816,49,10052,-1,4,698201.5
11086,tgb,-80.83388,43.08555,0,bird,279,-6.59E-01,990,80,12,0.2088433,61,9686,8,4,858659.8
11087,tgb,-81.29971,44.14645,0,bird,279,-8.68E-01,1077,68,14,0.08366646,55,9490,3,4,747455.2
11088,tgb,-80.48545,43.17722,0,bird,279,-5.46E-01,974,80,11,0.134908,61,9690,8,4,844974.9
10108,tgb,-78.702,45.493,0,bird,451,7.94E-01,1007,66,14,0.7558098,23,10973,-26,2,585482.1
11089,tgb,-78.53543,44.6875,0,bird,279,-8.85E-01,926,64,10,0.1812356,43,10457,-4,2,675592.1
11090,tgb,-80.81128,42.92608,0,bird,278,-9.07E-01,1000,83,12,0.3943408,63,9613,9,4,875827.1
11091,tgb,-80.26419,43.30775,0,bird,278,2.98E-01,948,76,12,0.385084,61,9732,7,2,829005.3
11092,tgb,-81.00951,46.4317,0,bird,278,9.97E-01,904,60,17,0.9256183,27,11233,-23,5,493882.8
11093,tgb,-81.06068,42.95862,0,bird,278,9.01E-01,1002,81,12,0.1253923,62,9624,9,4,874534.5
11094,tgb,-80.13155,43.38063,0,bird,278,-9.95E-01,926,74,13,0.3066182,61,9743,8,3,819473
11095,tgb,-80.25849,43.31024,0,bird,278,-4.56E-01,947,76,12,0.385084,61,9732,7,4,828950.2
11096,tgb,-79.61277,45.61641,0,bird,278,3.57E-01,1118,70,15,0.4041854,36,10809,-13,3,570189.7
11097,tgb,-80.06667,47.81666,0,bird,278,-1.41E-01,842,49,20,0.1510991,5,12390,-42,4,329359.5
11098,tgb,-79.59009,43.91511,0,bird,278,-8.72E-01,837,59,13,0.5943146,57,9901,5,4,758378.7
10010,tgb,-78.30254,45.56696,0,bird,497,-8.98E-01,939,62,16,0.6790442,18,11114,-30,2,580061.8
10109,tgb,-78.63165,45.56401,0,bird,451,-5.58E-01,991,65,14,1.142558,22,11044,-27,3,577172.7
11099,tgb,-81.28527,43.02197,0,bird,278,-8.78E-01,1002,79,11,0.6081054,62,9638,9,5,869595.3
11100,tgb,-78.98008,44.56329,0,bird,278,9.98E-01,938,62,11,0.05588482,47,10278,-2,4,687881.7
11101,tgb,-81.2456,42.95384,0,bird,278,9.87E-01,1003,80,12,0.4845214,63,9627,9,4,877669.6
11102,tgb,-80.88878,43.02788,0,bird,278,7.53E-01,996,81,12,0.2594371,62,9641,8,4,865053.5
11103,tgb,-80.37284,43.25417,0,bird,278,-9.49E-01,962,79,12,1.155858,61,9726,7,4,835507.9
11104,tgb,-80.3704,43.39601,0,bird,278,-8.75E-01,955,75,13,0.7420081,59,9748,6,5,819980.1
11105,tgb,-79.83312,43.91672,0,bird,278,9.69E-01,866,62,12,0.2577714,56,9872,4,4,759028.8
11106,tgb,-81.40138,43.01865,0,bird,278,-9.84E-01,999,79,11,0.1353065,63,9631,9,4,872051.4
11107,tgb,-81.28333,49.21667,0,bird,278,9.28E-01,918,47,22,0.5033787,-10,12777,-64,2,202851.7
11108,tgb,-81.26704,43.0582,0,bird,278,-1.41E-01,1005,79,11,0.128363,62,9633,9,4,865538.8
10110,tgb,-78.61199,45.55242,0,bird,450,-1.00E+00,989,65,14,0.400438,22,11044,-27,2,579289.9
11109,tgb,-80.83949,46.52415,0,bird,277,-9.96E-01,901,59,17,0.01467608,26,11431,-24,5,481525.4
11110,tgb,-77.41635,44.76671,0,bird,277,-9.79E-01,876,66,10,0.0328167,41,10665,-7,3,679798.6
11111,tgb,-78.43184,44.40987,0,bird,277,3.16E-01,866,62,10,0.4424695,47,10271,0,4,707222.6
11112,tgb,-81.21833,42.95446,0,bird,277,9.99E-01,1005,80,12,0.4214029,63,9627,9,4,877345.8
11113,tgb,-80.31646,43.36672,0,bird,277,-4.61E-01,951,76,12,0.6073081,60,9747,7,5,822519.6
11114,tgb,-79.12133,44.10903,0,bird,277,3.99E-01,843,58,12,1.392408,55,9992,5,5,737031.6
11115,tgb,-78.98165,44.07897,0,bird,277,9.16E-01,838,59,12,0.2922321,55,9975,6,4,741237.4
11116,tgb,-81.39865,48.47263,0,bird,277,6.62E-01,874,48,23,0.2139378,-3,12492,-54,5,284850
11117,tgb,-81.29218,49.06746,0,bird,277,7.07E-01,914,47,22,0.08105124,-9,12726,-62,2,219323.6
11118,tgb,-78.18725,44.06626,0,bird,277,5.70E-01,841,64,9,0.6631603,51,9994,2,4,746964.4
10111,tgb,-78.49972,45.75005,0,bird,449,-9.99E-01,962,63,16,0.09567624,19,11207,-30,3,557947.7
11119,tgb,-78.49522,44.26062,0,bird,277,-8.65E-01,847,62,10,1.007855,49,10124,2,4,723291.5
11120,tgb,-77.12117,44.84227,0,bird,277,-8.16E-01,874,66,10,0.4705403,41,10778,-7,3,676252.1
11121,tgb,-78.3082,44.56609,0,bird,277,-9.96E-01,883,63,10,0.8384697,44,10378,-3,2,690877.7
11122,tgb,-79.08262,44.15137,0,bird,276,-5.94E-01,850,58,12,0.08366646,54,10033,4,4,732265.3
11123,tgb,-80.98574,43.00782,0,bird,276,-9.72E-01,1001,81,12,0.3614262,62,9643,9,4,867993.3
11124,tgb,-78.77466,44.43946,0,bird,276,3.64E-01,897,61,11,0,48,10245,0,4,701296.7
11125,tgb,-80.31063,43.35486,0,bird,276,-2.05E-01,951,76,12,0.0886658,60,9743,7,5,824395.6
11126,tgb,-80.38522,43.38417,0,bird,276,9.12E-01,959,76,12,0.477018,60,9752,7,4,821071.3
11127,tgb,-79.41667,43.91667,0,bird,276,-8.83E-01,827,58,13,1.120825,57,9900,7,4,758189.9
11128,tgb,-81.28479,43.05303,0,bird,276,2.70E-01,1004,79,11,0.3511497,62,9643,9,4,866721
10112,tgb,-78.64276,45.55971,0,bird,449,8.98E-01,993,65,14,0.2046765,22,11044,-27,2,578080.5
11129,tgb,-80.68391,42.98202,0,bird,276,-9.53E-01,990,83,12,0.3632095,63,9641,9,4,867869.1
11130,tgb,-81.35094,43.03478,0,bird,275,2.54E-01,1003,79,11,0.08105124,63,9638,9,4,869550.9
11131,tgb,-78.48047,44.31808,0,bird,275,7.19E-01,854,62,10,0.3243678,48,10185,0,4,716580.3
11132,tgb,-81.14901,43.03437,0,bird,275,-9.92E-01,1007,79,11,0.1328973,62,9628,9,5,867009.4
11133,tgb,-81.49946,43.43553,0,bird,275,-1.64E-01,1022,74,8,0.2235382,60,9599,6,4,827689.6
11134,tgb,-80.68084,48.76251,0,bird,275,-7.26E-01,861,45,24,0.3296369,-9,12702,-60,5,240317
11135,tgb,-79.92634,43.7733,0,bird,275,6.91E-02,877,65,13,1.97243,58,9843,6,4,774876.3
11136,tgb,-81.3276,43.00395,0,bird,275,-4.47E-01,1000,79,11,0.3016611,63,9633,9,4,873035
11137,tgb,-81.02762,44.14768,0,bird,275,3.04E-01,1075,70,12,0.1847665,54,9587,3,5,742651.1
11138,tgb,-76.97332,45.11518,0,bird,275,-7.31E-01,852,63,11,0.2159419,38,11030,-9,2,649952.4
10113,tgb,-80.1072,43.96255,0,bird,448,-6.90E-01,918,64,12,1.167717,45,9845,-6,4,755432.1
11139,tgb,-81.17617,43.03714,0,bird,275,9.19E-01,1005,79,11,0.2285407,62,9623,9,4,867326
11140,tgb,-80.86112,43.05196,0,bird,275,7.19E-01,994,81,12,0.8276134,62,9641,8,4,861810.4
11141,tgb,-80.85122,43.05536,0,bird,275,4.89E-01,993,81,12,0.4183252,62,9668,8,4,860759.8
11142,tgb,-79.9449,43.65133,0,bird,275,3.45E-02,882,67,13,0.8919752,59,9811,6,4,789486.3
11143,tgb,-78.59289,44.1468,0,bird,275,9.76E-01,839,61,10,1.379597,52,10018,3,2,734237.5
11144,tgb,-81.2037,42.89518,0,bird,274,9.70E-01,1003,81,12,0.3137356,63,9612,10,4,882889
11145,tgb,-81.41667,43,0,bird,274,8.38E-01,996,79,11,0.121466,63,9645,9,4,874202.3
11146,tgb,-80.88393,43.03813,0,bird,274,7.07E-01,996,81,12,0.02075511,62,9646,8,5,864001.5
11147,tgb,-81.51513,43.96232,0,bird,274,-8.38E-01,1077,68,14,0.1411497,57,9500,4,4,770817.1
11148,tgb,-80.10892,43.35481,0,bird,274,-6.14E-01,928,74,12,0.07903305,61,9744,8,4,823206.6
10114,tgb,-78.58677,45.55914,0,bird,448,-4.72E-01,985,65,14,0.872203,22,11044,-28,2,578512.4
11149,tgb,-81.16649,43.06673,0,bird,274,-6.55E-01,1008,79,11,0.3281635,62,9631,9,4,863382.3
11150,tgb,-79.05064,44.28131,0,bird,274,-4.42E-01,874,59,12,0.250998,52,10105,2,4,717790.5
11151,tgb,-78.3021,44.43232,0,bird,274,7.07E-01,865,63,9,0.524437,46,10299,-1,4,705433.5
11152,tgb,-78.06108,44.61652,0,bird,274,-7.94E-01,879,64,10,0.4761142,43,10452,-4,2,687444.1
11153,tgb,-78.86371,44.15018,0,bird,274,9.39E-02,848,60,11,0.05188776,53,10042,4,4,732916.9
11154,tgb,-81.40295,48.45901,0,bird,274,-9.86E-01,870,48,23,0.3877315,-2,12469,-54,5,286779.7
11155,tgb,-78.94974,44.10005,0,bird,273,8.52E-01,839,59,12,0.06644874,55,10005,6,5,738431.9
11156,tgb,-81.01833,49.05975,0,bird,273,5.81E-01,914,47,22,0.03113266,-10,12734,-64,5,218857.8
11157,tgb,-78.00758,44.09307,0,bird,273,-9.93E-01,854,66,10,1.614508,51,10047,1,2,745756.6
11158,tgb,-79.76517,45.39033,0,bird,273,8.71E-01,1146,70,17,0.4783705,39,10589,-11,2,594913.5
10115,tgb,-78.68864,45.5796,0,bird,448,6.72E-01,1000,66,14,0.7704826,22,11026,-27,2,575857.9
11159,tgb,-80.1108,43.37237,0,bird,273,-8.94E-01,924,73,12,0.07483357,61,9733,8,2,820301.6
11160,tgb,-79.86426,43.42005,0,bird,273,8.29E-01,889,70,13,3.224478,62,9740,9,2,814414.9
11161,tgb,-80.15774,43.3585,0,bird,273,-9.02E-01,932,74,12,0.3943408,61,9733,8,4,822521.6
11162,tgb,-80.10924,43.3652,0,bird,273,3.94E-01,925,74,12,0.07483357,61,9733,8,2,821269.9
11163,tgb,-81.63317,43.63339,0,bird,273,6.65E-02,1027,70,10,0.5342019,59,9546,6,4,808774.1
11164,tgb,-81.43317,43.00006,0,bird,273,4.23E-01,995,79,11,0.1058306,63,9625,9,4,874441.8
11165,tgb,-79.18683,43.97886,0,bird,273,-9.98E-01,827,58,13,0.5998151,57,9943,7,4,751494.7
11166,tgb,-79.24612,43.97092,0,bird,272,-9.92E-01,829,58,13,0.4492323,57,9923,7,5,752400.2
11167,tgb,-81.33408,43.00196,0,bird,272,-8.04E-01,1000,79,11,0.3016611,63,9625,9,4,873149.5
11168,tgb,-81.42637,42.99723,0,bird,272,8.86E-01,996,79,11,0.1058306,63,9625,9,4,874321.8
10116,tgb,-78.65081,45.55649,0,bird,448,-8.90E-01,993,65,14,0.2046765,22,11026,-27,3,578021.7
11169,tgb,-81.29445,43.0507,0,bird,272,-6.64E-01,1004,79,11,0.3951592,63,9638,9,4,866833.7
11170,tgb,-78.64606,44.35861,0,bird,272,-3.16E-01,873,61,10,0.01037755,49,10192,1,4,711613.4
11171,tgb,-78.72617,44.54296,0,bird,272,-4.27E-01,914,62,10,0.2475418,46,10342,-1,4,690895.4
11172,tgb,-80.75112,46.80569,0,bird,272,-9.51E-02,881,57,18,1.604884,22,11695,-28,3,448801.2
11173,tgb,-81.43317,43.06673,0,bird,271,1.70E-01,998,78,10,0.1611025,63,9641,9,4,866792.1
11174,tgb,-79.78157,43.85972,0,bird,271,-5.84E-01,857,62,13,0.4706547,57,9878,6,4,765639.8
11175,tgb,-81.02083,49.06347,0,bird,271,9.96E-01,914,47,22,0.1037754,-10,12744,-64,5,217886.8
11176,tgb,-81.39615,43.00239,0,bird,271,-5.45E-01,996,79,11,0.4433205,63,9625,9,4,873964.9
11177,tgb,-79.71083,43.92664,0,bird,271,-8.28E-01,850,60,13,0.5515575,57,9886,6,4,757677.6
11178,tgb,-77.777,45.83277,0,bird,271,-9.49E-01,877,59,18,0.9974948,28,11428,-19,3,558043.5
10117,tgb,-83.85924,47.95178,0,bird,447,-1.16E-01,899,45,21,0.8911903,-2,11780,-52,2,400705.3
11179,tgb,-79.05561,44.27199,0,bird,271,-6.92E-01,873,59,12,0.3243678,52,10105,2,4,718739.8
11180,tgb,-80.70338,42.96489,0,bird,271,-9.49E-01,991,83,12,0.134908,63,9639,9,4,869953.3
11181,tgb,-81.32047,42.97563,0,bird,271,-8.11E-01,1000,80,12,0.6073081,63,9628,9,5,875794.4
11182,tgb,-80.85459,43.0564,0,bird,271,-9.10E-01,993,80,12,0.4183252,62,9646,8,4,860847.6
11183,tgb,-79.61792,44.32436,0,bird,271,-2.63E-01,900,59,11,0.3805833,52,10017,0,4,712824.2
11184,tgb,-81.26885,49.1843,0,bird,271,-3.75E-01,918,47,22,0.4052497,-9,12769,-63,2,205596
11185,tgb,-80.91858,43.02116,0,bird,271,-5.91E-01,999,81,12,0.2723964,62,9658,9,4,866287
11186,tgb,-79.82875,47.53809,0,bird,271,8.09E-01,862,51,20,1.048838,11,12221,-36,2,357920.2
11187,tgb,-78.79872,44.6853,0,bird,271,-2.78E-01,955,63,11,0.1312666,45,10420,-3,3,674037.1
11188,tgb,-78.86783,44.60902,0,bird,271,-7.81E-01,942,63,11,0.04640983,46,10346,-2,4,682496.4
10118,tgb,-78.59082,45.56514,0,bird,447,-1.62E-01,984,65,14,1.073387,22,11044,-27,3,577481.6
11189,tgb,-80.99108,46.49272,0,bird,270,-8.04E-01,900,59,17,0.5870226,26,11318,-23,5,487122.6
11190,tgb,-79.93575,43.71654,0,bird,270,-5.60E-01,880,66,13,1.690287,58,9841,6,4,781696.7
11191,tgb,-80.14043,43.34538,0,bird,270,-1.96E-01,933,75,12,0.2320479,62,9743,8,4,824361.3
11192,tgb,-79.92035,43.75178,0,bird,270,-7.85E-01,876,65,13,0.4278696,58,9821,6,4,777783.8
11193,tgb,-78.34916,44.33382,0,bird,270,-7.58E-01,851,62,10,0.4424695,48,10214,0,4,715625.1
11194,tgb,-79.70693,44.00536,0,bird,270,2.82E-01,856,60,12,0.9464925,56,9909,4,4,748947.6
11195,tgb,-80.1131,43.3325,0,bird,270,-9.73E-01,929,74,12,0.2716046,62,9716,8,2,825189.1
11196,tgb,-79.47831,44.07071,0,bird,270,1.58E-01,842,57,13,0.804124,56,9960,4,5,741730.9
11197,tgb,-78.58431,44.22723,0,bird,270,-1.64E-02,847,61,10,0.3885638,51,10098,3,4,726544.6
11198,tgb,-80.15818,48.91624,0,bird,270,-6.33E-01,857,45,27,0.02935215,-10,12789,-61,2,210975.3
10011,tgb,-80.20423,44.07866,0,bird,496,6.00E-01,939,64,11,0.1560085,41,9843,-9,5,743433
10119,tgb,-90.3006,48.6453,0,bird,447,9.73E-01,748,41,40,0.8433349,1,12190,-49,3,717702.2
11199,tgb,-80.30794,43.29251,0,bird,269,4.92E-01,954,77,12,0.5251552,61,9724,7,2,831165.4
11200,tgb,-80.7587,42.90455,0,bird,269,6.33E-01,1000,84,12,0.1249621,64,9613,10,4,878223.1
11201,tgb,-81.63682,43.5137,0,bird,269,-6.46E-01,1016,72,8,0.2395831,60,9587,6,4,821137.6
11202,tgb,-78.08837,44.15132,0,bird,269,8.44E-01,849,65,10,0.7892584,50,10072,1,4,738136.9
11203,tgb,-81.18621,43.03914,0,bird,269,1.10E-01,1006,79,11,0.4176811,62,9663,9,4,866366.7
11204,tgb,-78.89324,44.16895,0,bird,269,3.52E-01,848,59,12,0.2101285,53,10047,4,4,731849.4
11205,tgb,-81.43201,43.12774,0,bird,269,-4.28E-01,1001,78,10,0.2883368,63,9627,9,4,861056
11206,tgb,-81.00708,49.03766,0,bird,269,-8.14E-01,912,47,22,0.1122503,-10,12749,-63,5,221755.5
11207,tgb,-76.9901,45.0784,0,bird,269,8.94E-01,854,63,11,0.8000972,39,10995,-8,2,654292.3
11208,tgb,-79.45926,43.99477,0,bird,268,9.67E-01,832,58,13,0.5740387,57,9942,6,5,750451.2
10120,tgb,-78.1807,45.2308,0,bird,446,-5.55E-01,924,63,13,1.241388,26,10882,-23,2,617817.9
