siteid,spid,x,y,occ,group,age,deficit,dem,hillshade,mas,mat,r2pet,rain,slope,sseas,toxicats,tseas,vpd
21224,tgb,2490000,5930000,0,plant,2,0,1102,172,1425,67,55,1988,8,-7,1,-109,20
21225,tgb,2490000,6000000,0,plant,2,0,698,34,1522,89,51,2047,37,-63,1,-66,34
21226,tgb,2490000,6014000,0,plant,2,0,443,253,1528,103,54,2222,39,-66,1,-71,38
21227,tgb,2490000,6740000,0,plant,1,94,47,187,1541,156,21,1323,5,64,1,151,35
21228,tgb,2490000,6748000,0,plant,2,74,197,153,1536,150,22,1363,9,71,1,283,31
21229,tgb,2490100,5724300,0,plant,2,0,655,136,1366,91,40,1458,22,-16,1,172,33
21231,tgb,2491000,5721000,0,plant,2,0,568,238,1374,96,40,1461,28,-24,1,170,36
21232,tgb,2491000,5890000,0,plant,0,2,1119,160,1456,66,33,1295,4,-43,0,-119,35
20117,tgb,2102600,5548500,0,plant,2,0,203,181,1289,96,43,1528,0,-26,1,0,31
21234,tgb,2491700,5725500,0,plant,2,0,555,90,1359,97,50,1902,23,-10,1,160,33
21235,tgb,2491777,6018016,0,plant,2,11,135,93,1536,119,47,2019,28,-72,1,-106,44
21236,tgb,2492000,5917000,0,plant,2,0,855,62,1447,79,46,1821,30,-26,1,-173,30
21237,tgb,2492200,5723700,0,plant,2,16,335,144,1370,108,35,1335,12,-20,1,157,39
21238,tgb,2492700,5892400,0,plant,2,0,1339,218,1454,55,41,1553,11,-40,1,-55,31
21239,tgb,2493000,5721000,0,plant,2,0,604,103,1368,94,40,1440,21,-19,1,171,35
21240,tgb,2493000,5872000,0,plant,0,52,899,190,1454,77,25,1028,1,-49,0,-162,43
21241,tgb,2493000,5918000,0,plant,2,0,723,218,1453,86,42,1719,17,-31,1,-195,34
21243,tgb,2493000,5963000,0,plant,1,35,273,177,1498,108,29,1299,2,-55,1,-212,40
21245,tgb,2493000,5996000,0,plant,2,42,156,191,1535,117,36,1569,13,-75,1,-105,46
20119,tgb,2103887,5574120,0,plant,2,0,1030,210,1254,57,124,3691,37,17,1,173,8
21247,tgb,2493000,6743000,0,plant,2,80,68,180,1543,155,22,1396,5,64,1,141,35
21248,tgb,2493200,5892600,0,plant,2,0,1337,190,1455,55,40,1532,14,-41,1,-55,31
21249,tgb,2493700,5711700,0,plant,2,162,168,227,1388,115,21,867,15,-39,1,104,47
21250,tgb,2493834,6742594,0,plant,2,85,52,185,1543,156,22,1379,4,64,1,131,36
21251,tgb,2494000,5728000,0,plant,2,0,183,99,1365,115,43,1753,18,-15,1,154,39
21252,tgb,2494000,5918000,0,plant,2,0,1180,250,1441,63,54,2025,37,-21,1,-98,24
21254,tgb,2494000,5987000,0,plant,2,51,186,153,1529,115,31,1369,7,-73,1,-105,45
21257,tgb,2495000,5858000,0,plant,2,52,630,111,1446,90,28,1112,18,-51,1,-187,49
21258,tgb,2495000,5928000,0,plant,2,0,850,39,1442,80,45,1738,36,-21,1,-163,27
21259,tgb,2495700,6745900,0,plant,2,50,240,150,1538,148,24,1481,13,69,1,284,31
20121,tgb,2105400,5494800,0,plant,2,0,1143,239,1237,49,62,1648,25,0,1,216,13
21260,tgb,2496000,5708000,0,plant,2,103,321,114,1384,108,26,1003,25,-36,1,147,43
21261,tgb,2496000,5713000,0,plant,2,159,116,190,1389,118,23,939,12,-39,1,83,48
21262,tgb,2496000,5791000,0,plant,2,136,283,177,1415,107,18,827,6,-38,1,-82,50
21264,tgb,2496000,6029000,0,plant,2,0,204,229,1523,117,49,2141,22,-59,1,-75,39
21266,tgb,2496000,6746000,0,plant,2,58,200,163,1539,150,23,1458,20,68,1,253,32
21267,tgb,2496100,5723800,0,plant,2,0,652,164,1355,92,53,1968,20,-7,1,182,31
21268,tgb,2496300,5934400,0,plant,2,0,730,138,1448,86,41,1626,17,-24,1,-175,29
21269,tgb,2496500,5720700,0,plant,2,70,328,147,1374,108,32,1213,12,-26,1,167,41
21270,tgb,2496800,5722300,0,plant,2,0,808,84,1354,84,53,1896,20,-7,1,194,29
21271,tgb,2496900,5934400,0,plant,2,0,639,179,1452,90,38,1551,4,-27,1,-177,31
20122,tgb,2107800,5546400,0,plant,2,5,239,181,1293,95,33,1182,0,-26,1,-8,32
21272,tgb,2496900,6744700,0,plant,2,93,33,173,1544,157,21,1347,8,63,1,131,36
21273,tgb,2497000,5794000,0,plant,2,149,260,175,1418,108,18,803,5,-40,1,-102,51
21275,tgb,2497000,6019000,0,plant,2,0,500,217,1527,101,54,2211,24,-63,1,-50,36
21276,tgb,2497200,6028900,0,plant,2,0,130,216,1526,120,48,2083,35,-62,1,-86,41
21277,tgb,2497214,6020852,0,plant,2,0,590,177,1522,96,58,2323,22,-58,1,-39,34
21278,tgb,2497300,5933400,0,plant,2,0,621,177,1452,91,37,1537,3,-28,1,-187,31
21279,tgb,2497600,6747100,0,plant,1,101,19,180,1544,158,21,1315,2,64,1,140,36
21280,tgb,2497800,5936200,0,plant,2,0,940,180,1445,75,46,1769,7,-21,1,-142,24
21281,tgb,2498000,5712000,0,plant,2,28,500,220,1382,99,34,1281,24,-33,1,189,40
21282,tgb,2498000,5720000,0,plant,2,42,446,189,1373,102,35,1286,19,-25,1,179,39
20123,tgb,2107900,5507200,0,plant,2,41,290,179,1272,92,29,971,0,-25,1,2,32
21283,tgb,2498000,6019000,0,plant,2,0,923,191,1512,79,65,2487,13,-49,1,6,27
21284,tgb,2498160,6019040,0,plant,2,0,885,178,1513,80,64,2466,13,-49,1,6,28
21285,tgb,2498300,5791000,0,plant,2,167,176,133,1417,113,17,769,11,-40,1,-94,52
21286,tgb,2498300,6752900,0,plant,1,117,13,183,1543,159,20,1234,2,66,1,150,36
21287,tgb,2499000,5935000,0,plant,2,0,679,164,1454,88,38,1554,5,-28,1,-176,30
21288,tgb,2499000,6041000,0,plant,2,0,10,183,1511,128,38,1703,1,-49,1,-59,38
21290,tgb,2500000,5890000,0,plant,2,21,1213,242,1463,61,28,1107,23,-48,1,-87,36
21291,tgb,2500000,5900000,0,plant,2,0,1840,149,1451,30,61,2137,32,-33,1,112,20
21292,tgb,2500000,5938000,0,plant,2,0,698,169,1458,87,38,1540,5,-30,1,-166,30
21293,tgb,2500000,5938200,0,plant,2,0,696,167,1458,88,37,1537,5,-30,1,-176,30
20124,tgb,2108000,5507000,0,plant,2,40,288,179,1272,92,29,973,0,-25,1,2,32
21294,tgb,2500000,6019000,0,plant,2,0,749,173,1520,88,59,2326,6,-55,1,-16,31
21295,tgb,2500000,6020000,0,plant,2,0,621,96,1524,94,56,2248,23,-59,1,-18,34
21296,tgb,2500000,6023000,0,plant,2,0,788,158,1513,86,62,2432,11,-49,1,-5,29
21297,tgb,2500700,5713800,0,plant,2,155,125,169,1389,118,24,957,13,-40,1,93,47
21298,tgb,2501000,5724000,0,plant,2,135,104,187,1375,119,27,1063,16,-26,1,113,44
21299,tgb,2501400,6751600,0,plant,2,95,107,167,1542,154,21,1314,10,67,1,202,34
21300,tgb,2501600,6751800,0,plant,2,90,133,151,1541,153,21,1330,9,68,1,212,33
21301,tgb,2502000,5722000,0,plant,2,182,65,200,1380,121,25,950,9,-31,1,82,46
21302,tgb,2503900,5898100,0,plant,2,21,1042,176,1472,70,26,1107,4,-53,1,-150,39
21303,tgb,2504000,5860000,0,plant,2,0,1315,127,1437,56,45,1569,19,-41,1,-16,36
20010,tgb,2017500,5431800,0,plant,2,0,43,189,1196,94,79,2276,5,1,1,161,21
20125,tgb,2108072,5327536,0,plant,2,0,37,179,1172,95,59,1740,1,5,1,251,21
21304,tgb,2504000,5898000,0,plant,2,25,1032,182,1472,71,26,1090,3,-53,1,-160,39
21305,tgb,2504000,5899000,0,plant,2,15,1037,172,1472,71,27,1146,11,-53,1,-160,39
21306,tgb,2504000,5973000,0,plant,2,46,330,212,1519,107,28,1265,14,-66,1,-152,39
21308,tgb,2504000,6030000,0,plant,2,0,1042,170,1494,72,68,2591,10,-31,1,68,21
21309,tgb,2505000,5892000,0,plant,2,108,994,176,1471,73,20,843,1,-55,1,-161,41
21311,tgb,2506000,5710000,0,plant,2,164,42,198,1384,122,23,928,11,-38,1,62,48
21312,tgb,2506000,6016000,0,plant,2,28,195,124,1548,116,38,1622,14,-80,1,-95,44
21313,tgb,2507000,5709000,0,plant,2,77,342,192,1373,108,31,1170,16,-29,1,167,41
21318,tgb,2509000,5712000,0,plant,2,120,157,167,1373,117,28,1079,15,-29,1,124,43
21319,tgb,2509000,5941000,0,plant,2,0,713,106,1476,87,37,1533,22,-40,3,-176,31
20126,tgb,2109600,5442900,0,plant,2,2,223,205,1247,90,38,1166,13,-18,1,32,32
21321,tgb,2509200,5708200,0,plant,2,0,715,87,1355,88,52,1881,21,-14,1,233,31
21322,tgb,2509600,5708300,0,plant,2,0,700,129,1355,89,53,1917,19,-14,1,233,31
21323,tgb,2509600,6000300,0,plant,1,114,29,181,1547,124,27,1225,0,-82,1,-138,48
21326,tgb,2509800,5708800,0,plant,2,0,670,135,1355,91,53,1929,22,-13,1,222,31
21327,tgb,2510000,5704000,0,plant,2,162,168,150,1370,116,21,852,19,-28,1,124,43
21328,tgb,2510000,5705000,0,plant,2,187,113,106,1372,119,20,802,26,-30,1,103,45
21329,tgb,2510000,5890000,0,plant,2,0,1550,217,1462,44,31,1200,26,-46,1,27,30
21330,tgb,2510000,5960000,0,plant,2,0,1150,165,1479,66,51,1957,23,-34,1,-69,20
21331,tgb,2510000,6043000,0,plant,1,0,10,173,1511,128,37,1809,2,-49,1,-29,38
21332,tgb,2510000,6755000,0,plant,2,118,59,191,1544,157,20,1225,9,66,1,181,36
20127,tgb,2109700,5443700,0,plant,2,7,165,190,1249,93,36,1120,7,-18,1,11,33
21333,tgb,2510300,5820800,0,plant,2,131,380,181,1431,102,22,934,18,-46,1,-150,52
21334,tgb,2510600,6748800,0,plant,2,120,18,180,1545,159,19,1222,10,63,1,150,37
21335,tgb,2510750,5828257,0,plant,2,183,214,185,1437,110,18,801,2,-49,1,-213,56
21336,tgb,2511000,5714000,0,plant,2,0,441,178,1363,103,45,1669,20,-19,1,198,36
21337,tgb,2511000,5715000,0,plant,2,0,490,139,1362,100,45,1656,13,-17,1,209,35
21338,tgb,2511400,6019500,0,plant,2,69,55,164,1553,123,32,1429,6,-85,1,-137,49
21339,tgb,2512000,5711000,0,plant,2,0,464,157,1359,102,49,1836,17,-17,1,199,35
21340,tgb,2512000,6756000,0,plant,2,88,201,178,1541,151,21,1321,9,69,3,243,32
21341,tgb,2512400,6756000,0,plant,2,89,199,177,1541,151,21,1318,5,69,3,243,33
21342,tgb,2513000,5706000,0,plant,2,217,18,161,1374,123,19,775,14,-32,1,82,47
20128,tgb,2109800,5443000,0,plant,2,1,235,185,1247,90,39,1174,6,-18,1,32,32
21344,tgb,2514000,5977000,0,plant,1,104,79,166,1531,123,23,1128,7,-76,1,-7,44
21345,tgb,2514900,6025200,0,plant,2,71,58,155,1553,124,32,1414,9,-85,1,-108,49
21347,tgb,2516000,5814000,0,plant,2,181,140,125,1431,115,19,838,13,-48,1,-165,56
21348,tgb,2516200,5708200,0,plant,2,153,119,127,1372,119,24,936,16,-29,1,113,44
21349,tgb,2517000,5970000,0,plant,2,21,210,231,1521,115,31,1460,24,-68,1,-95,41
21350,tgb,2518000,5929000,0,plant,2,0,703,59,1489,89,32,1455,35,-55,1,-206,39
21351,tgb,2518000,5981000,0,plant,1,108,29,180,1536,125,22,1108,0,-80,1,-38,45
21352,tgb,2520000,5717000,0,plant,2,144,186,148,1371,116,23,926,13,-25,1,144,42
21354,tgb,2520000,5978000,0,plant,2,60,137,142,1531,120,25,1226,13,-75,1,3,42
21355,tgb,2521000,5862000,0,plant,2,0,1315,225,1443,57,44,1607,26,-43,1,-6,37
20129,tgb,2109900,5442600,0,plant,2,0,240,182,1247,89,39,1184,10,-18,1,43,32
21356,tgb,2521000,6668000,0,plant,2,53,173,177,1513,148,23,1374,13,65,1,174,35
21357,tgb,2522000,5808000,0,plant,2,135,79,182,1428,118,20,924,1,-46,1,-116,56
21359,tgb,2522900,6668400,0,plant,2,49,192,175,1513,147,24,1403,2,66,1,184,34
21360,tgb,2523000,5940000,0,plant,2,0,800,236,1496,84,38,1642,27,-56,1,-165,36
21361,tgb,2523000,5977000,0,plant,2,51,188,42,1528,117,25,1245,22,-72,1,-35,41
21362,tgb,2523000,5980000,0,plant,1,81,76,139,1531,123,22,1112,5,-74,1,-17,43
21363,tgb,2523783,5861313,0,plant,2,0,1165,136,1445,65,43,1639,27,-45,1,-49,40
21364,tgb,2525000,5857000,0,plant,2,13,508,230,1453,98,32,1367,16,-53,1,-139,53
21365,tgb,2527000,5906000,0,plant,2,75,1240,196,1487,61,21,905,25,-63,1,-77,39
21366,tgb,2528000,6666000,0,plant,2,48,127,197,1513,150,24,1436,15,64,1,133,36
20130,tgb,2110000,5420000,0,plant,2,0,61,177,1236,97,42,1295,2,-17,1,30,32
21369,tgb,2529000,6659000,0,plant,2,60,14,202,1511,155,24,1401,6,63,1,51,38
21370,tgb,2529200,5981000,0,plant,2,45,155,150,1528,119,27,1282,20,-70,1,-56,41
21371,tgb,2529800,5979200,0,plant,2,35,205,193,1527,116,28,1326,15,-70,1,-65,40
21372,tgb,2530000,5810000,0,plant,2,134,105,196,1428,118,20,919,7,-46,1,-86,55
21373,tgb,2530000,5890000,0,plant,2,17,1320,57,1472,57,30,1173,31,-56,1,-36,39
21374,tgb,2530000,5970000,0,plant,2,0,1221,238,1499,63,55,2119,29,-47,1,-18,20
21376,tgb,2530000,6650000,0,plant,2,37,196,222,1500,144,27,1522,18,69,1,125,34
21377,tgb,2530000,6660000,0,plant,2,58,9,184,1512,155,24,1413,1,62,1,51,38
21378,tgb,2530000,6663000,0,plant,2,56,30,202,1513,155,24,1419,5,63,1,61,38
21380,tgb,2530827,5928179,0,plant,2,0,1590,64,1484,43,49,1911,34,-50,1,58,23
20131,tgb,2110000,5460000,0,plant,1,54,99,179,1262,97,30,961,0,-24,1,-9,37
21381,tgb,2531000,5901000,0,plant,2,184,915,111,1490,79,16,721,13,-67,1,-213,47
21382,tgb,2531000,5902000,0,plant,2,191,918,170,1492,79,15,707,5,-69,1,-213,47
21386,tgb,2531800,5894500,0,plant,2,30,1280,73,1478,59,26,1080,27,-59,1,-57,40
21387,tgb,2531900,6681000,0,plant,2,69,9,180,1526,159,22,1324,0,59,1,110,39
21389,tgb,2533000,5958000,0,plant,2,0,1243,218,1506,62,51,2014,28,-57,1,-28,25
21390,tgb,2533409,5937366,0,plant,2,0,1388,162,1492,54,47,1880,32,-53,1,-5,26
21391,tgb,2534000,5957000,0,plant,2,4,835,84,1515,83,37,1574,27,-67,1,-124,36
21392,tgb,2534000,6676000,0,plant,2,58,16,182,1524,158,23,1399,1,59,1,60,40
21393,tgb,2534600,6676600,0,plant,2,57,18,180,1525,158,23,1405,0,58,1,60,40
21394,tgb,2535000,5991000,0,plant,2,18,230,122,1532,114,31,1407,16,-73,1,-74,39
20133,tgb,2110000,5560000,0,plant,2,0,1175,228,1258,50,101,2912,24,9,1,175,9
21395,tgb,2536000,5988000,0,plant,2,0,573,78,1520,97,41,1755,24,-62,1,-79,32
21396,tgb,2536000,6642000,0,plant,2,43,181,199,1493,143,27,1507,19,72,1,115,34
21397,tgb,2537000,5893000,0,plant,1,75,1024,163,1478,73,23,995,8,-60,1,-141,45
21398,tgb,2537000,5989000,0,plant,2,0,496,106,1524,100,39,1688,24,-66,1,-80,33
21400,tgb,2537000,6682000,0,plant,2,56,27,182,1526,158,23,1404,6,59,1,110,39
21401,tgb,2538000,5960000,0,plant,2,0,1121,234,1513,68,45,1801,24,-64,1,-49,29
21402,tgb,2538700,5984500,0,plant,2,0,818,239,1513,84,51,2038,25,-57,1,-45,27
21403,tgb,2538700,5984600,0,plant,2,0,807,205,1513,85,50,2028,27,-57,1,-55,28
21404,tgb,2539000,5984000,0,plant,2,0,790,119,1513,85,50,2029,18,-57,1,-45,28
21405,tgb,2539000,5984500,0,plant,2,0,961,177,1508,77,54,2133,23,-53,1,-32,24
20135,tgb,2110000,5600000,0,plant,2,0,1000,94,1231,60,191,6155,37,53,1,162,0
21407,tgb,2539000,5994500,0,plant,2,29,219,215,1532,115,30,1345,16,-73,1,-95,39
21408,tgb,2539100,5947000,0,plant,2,31,615,183,1515,95,27,1297,18,-72,1,-168,45
21409,tgb,2539100,5985700,0,plant,2,0,1107,200,1502,69,58,2209,28,-48,1,9,21
21410,tgb,2539400,5984500,0,plant,2,0,920,91,1510,79,54,2126,24,-55,1,-33,25
21411,tgb,2540000,5930000,0,plant,2,0,1090,217,1497,70,32,1449,25,-62,1,-100,36
21412,tgb,2540000,5970000,0,plant,2,0,1315,93,1503,58,62,2372,24,-51,1,23,20
21413,tgb,2540000,5986000,0,plant,2,0,563,129,1520,97,45,1915,25,-63,1,-69,32
21414,tgb,2540500,5988000,0,plant,2,0,237,136,1528,114,38,1701,19,-70,1,-104,39
21415,tgb,2540800,5985700,0,plant,2,0,709,227,1516,90,50,2036,22,-60,1,-57,29
21417,tgb,2541000,5985000,0,plant,2,0,1015,225,1506,74,58,2237,16,-51,1,-11,23
20136,tgb,2112000,5426800,0,plant,2,0,718,166,1229,66,60,1645,6,-8,1,210,20
21418,tgb,2541200,5990200,0,plant,2,0,157,193,1530,117,37,1679,14,-72,1,-105,41
21419,tgb,2541500,5984900,0,plant,2,0,1110,92,1503,69,61,2311,23,-49,1,9,21
21420,tgb,2541989,5969513,0,plant,2,0,1130,111,1509,68,58,2299,26,-56,1,-19,24
21421,tgb,2543000,5970000,0,plant,2,0,1625,136,1494,42,74,2642,27,-42,1,108,13
21422,tgb,2543500,5992500,0,plant,2,0,413,224,1524,105,40,1715,19,-67,1,-71,35
21423,tgb,2543600,5868200,0,plant,2,66,289,170,1465,110,25,1164,10,-59,1,-63,59
21424,tgb,2546000,5843000,0,plant,2,140,77,150,1450,120,21,995,9,-55,1,-26,60
21425,tgb,2546000,5848000,0,plant,2,65,250,155,1450,112,25,1171,19,-53,1,-34,57
21426,tgb,2547000,6660000,0,plant,1,4,80,181,1505,151,32,1893,4,67,1,43,37
21428,tgb,2547200,6677500,0,plant,1,31,59,181,1520,155,27,1608,0,62,1,81,38
20012,tgb,2020000,5475000,0,plant,2,0,525,58,1194,73,129,3599,34,14,1,238,11
20137,tgb,2112000,5431000,0,plant,2,0,592,118,1234,72,54,1522,16,-10,1,168,23
21429,tgb,2548000,5843000,0,plant,1,169,5,177,1451,124,20,939,1,-56,1,-18,61
21431,tgb,2548000,6660000,0,plant,1,4,98,168,1505,150,33,1904,6,67,1,53,37
21432,tgb,2548000,6679000,0,plant,2,12,207,133,1516,148,29,1702,10,65,1,154,34
21435,tgb,2549453,5966078,0,plant,2,1,628,141,1524,95,38,1677,18,-72,1,-108,40
21436,tgb,2550000,6000000,0,plant,2,0,367,238,1516,107,41,1767,21,-62,1,-52,34
21439,tgb,2550000,6677000,0,plant,1,27,60,180,1518,155,28,1648,2,62,1,71,38
21440,tgb,2550200,6707700,0,plant,2,93,37,193,1534,159,22,1309,8,59,1,140,38
21442,tgb,2550800,6676800,0,plant,1,25,65,197,1518,155,28,1662,4,62,1,61,38
21443,tgb,2550900,6676800,0,plant,2,26,62,194,1518,155,28,1661,5,62,1,61,38
21444,tgb,2550901,5883828,0,plant,2,0,1220,156,1463,63,38,1559,19,-50,1,-18,41
20139,tgb,2113000,5332000,0,plant,2,0,473,167,1163,74,74,2030,16,16,1,338,12
21445,tgb,2551000,5994000,0,plant,2,0,180,134,1519,116,42,1841,9,-65,1,-125,38
21446,tgb,2551000,6630000,0,plant,2,15,201,133,1481,140,33,1844,12,77,1,106,33
21448,tgb,2551100,5997200,0,plant,2,0,585,143,1509,96,47,1974,12,-56,3,-19,30
21449,tgb,2551389,5856411,0,plant,2,8,428,98,1453,104,30,1363,18,-53,1,-21,55
21450,tgb,2552000,6630000,0,plant,2,8,269,196,1479,137,35,1936,8,79,1,137,31
21451,tgb,2552000,6676000,0,plant,2,13,141,189,1515,151,30,1735,8,64,1,103,36
21453,tgb,2553000,5993000,0,plant,2,0,207,222,1515,115,45,1949,13,-63,1,-125,37
21454,tgb,2553000,6631000,0,plant,2,0,618,152,1472,121,42,2208,24,85,1,272,24
21455,tgb,2553900,6620000,0,plant,2,13,175,191,1477,140,35,1925,6,78,1,86,33
21456,tgb,2554000,6668000,0,plant,2,12,140,143,1509,149,32,1847,9,66,1,83,36
20140,tgb,2113000,5596000,0,plant,2,0,1450,243,1219,38,208,6099,52,63,1,239,0
21457,tgb,2554800,6666900,0,plant,2,14,131,167,1508,150,32,1848,9,66,1,63,36
21458,tgb,2555000,6677000,0,plant,2,24,50,174,1517,155,29,1692,2,62,1,51,38
21459,tgb,2555900,5874800,0,plant,0,9,259,183,1469,113,27,1341,23,-61,0,5,60
21460,tgb,2556000,5872000,0,plant,1,42,173,176,1469,117,25,1214,1,-62,1,34,61
21461,tgb,2556000,6007000,0,plant,2,0,133,146,1512,118,40,1789,20,-60,1,-56,37
21462,tgb,2556000,6616000,0,plant,2,41,38,206,1479,146,30,1654,9,74,1,34,36
21464,tgb,2557000,6616000,0,plant,2,31,98,197,1477,143,31,1719,6,76,1,55,35
21465,tgb,2557600,6623800,0,plant,2,0,288,211,1475,136,42,2253,9,80,1,137,31
21466,tgb,2558000,6620000,0,plant,2,0,312,161,1473,134,40,2149,6,80,1,148,30
21467,tgb,2558000,6630000,0,plant,2,0,701,110,1469,117,46,2395,16,87,1,294,22
20141,tgb,2113925,5605544,0,plant,2,0,1081,241,1213,57,211,6506,37,70,1,173,0
21468,tgb,2558600,6621900,0,plant,2,0,327,182,1473,134,42,2256,1,81,1,158,30
21470,tgb,2559800,6620100,0,plant,2,0,298,187,1473,135,40,2161,7,80,1,148,31
21471,tgb,2560000,5877000,0,plant,2,0,1465,227,1451,51,57,2252,29,-43,1,75,36
21472,tgb,2560000,5880000,0,plant,2,0,850,88,1463,83,40,1782,30,-53,1,-54,49
21473,tgb,2560000,5900000,0,plant,2,201,542,114,1489,101,15,757,16,-69,1,-100,55
21474,tgb,2560000,6610000,0,plant,2,27,198,188,1475,138,31,1674,7,74,1,97,33
21475,tgb,2560000,6620000,0,plant,2,0,330,165,1473,133,41,2193,10,80,1,168,30
21477,tgb,2561000,6615000,0,plant,2,21,230,224,1474,137,34,1818,10,77,1,117,32
21478,tgb,2561000,6616000,0,plant,2,25,188,179,1475,139,33,1791,12,77,1,97,33
21479,tgb,2561100,5981600,0,plant,2,0,130,200,1524,119,54,2567,18,-68,1,-156,43
20142,tgb,2114000,5343000,0,plant,2,0,190,219,1170,88,67,1950,20,12,1,263,17
21481,tgb,2561400,6604700,0,plant,2,4,409,125,1471,128,34,1809,27,76,1,180,28
21482,tgb,2561500,5981600,0,plant,2,0,216,162,1522,115,57,2665,25,-66,1,-135,41
21483,tgb,2561941,5874791,0,plant,2,0,384,122,1466,107,30,1440,18,-58,1,7,57
21484,tgb,2562174,5913190,0,plant,2,0,1748,241,1481,36,40,1643,28,-56,1,150,30
21485,tgb,2562300,6640800,0,plant,2,28,106,192,1487,147,29,1636,7,73,1,54,35
21486,tgb,2562800,5915000,0,plant,2,0,1413,176,1485,53,32,1420,22,-59,1,54,36
21487,tgb,2562800,6616000,0,plant,2,28,126,193,1476,142,32,1757,9,76,1,66,34
21488,tgb,2562900,6609500,0,plant,2,12,283,166,1473,134,33,1764,6,76,1,138,31
21489,tgb,2563000,6620000,0,plant,2,0,377,144,1471,131,42,2245,12,82,1,179,29
21490,tgb,2563300,6611200,0,plant,2,10,312,141,1472,133,35,1840,9,77,1,148,30
20143,tgb,2115000,5333000,0,plant,2,0,433,205,1166,76,71,1953,9,13,1,327,13
21491,tgb,2563300,6611400,0,plant,2,8,352,154,1471,131,36,1888,10,78,1,169,30
21492,tgb,2563953,5915964,0,plant,2,0,1488,254,1483,50,34,1474,38,-57,1,65,34
