siteid,spid,x,y,occ,group,bcc,calc,ccc,ddeg,nutri,pday,precyy,sfroyy,slope,sradyy,swb,tavecc,topo
20026,tgb,1756150,83700,0,tree,0,1,0,2846,7.0625,38,1032,0,367,19512,-149,0,-89
20027,tgb,1756150,106150,0,tree,67,1,8,2118,7,44,1476,0,331,20716,24,-2,-108
20028,tgb,1756150,154350,0,tree,31,0,43,2960,17,40,1239,0,94,18257,14,0,-73
11002,tgb,1571050,18950,0,tree,6,1,25,3144,17.9375,34,1182,0,224,19968,-166,0,-145
20029,tgb,1756150,154550,0,tree,27,0,73,2960,25.0625,40,1235,0,120,19496,37,0,-70
20030,tgb,1756190,117400,0,tree,4,0,2,3161,7,43,1407,0,316,20295,-6,0,-325
20031,tgb,1756200,84300,0,tree,0,0,0,2817,7,38,1045,0,367,21548,-205,0,304
20032,tgb,1756250,117250,0,tree,0,0,0,3183,7,43,1396,0,144,20336,-11,0,-178
20033,tgb,1756275,86420,0,tree,4,0,96,2699,11.0625,39,1081,0,125,15019,-64,0,27
20034,tgb,1756400,84050,0,tree,0,0,6,2870,7,38,1036,0,385,19837,-161,0,-134
20035,tgb,1756400,84300,0,tree,0,0,0,2691,7,38,1060,0,399,19415,-111,0,178
20036,tgb,1756400,106550,0,tree,29,0,71,2012,13,44,1501,0,330,19911,40,-3,-42
20037,tgb,1756450,84075,0,tree,0,0,25,2779,7,38,1045,0,342,20496,-161,0,-37
20038,tgb,1756525,84650,0,tree,0,0,100,2819,7,38,1048,0,424,11313,-3,0,-20
11003,tgb,1571180,73830,0,tree,2,0,98,2723,25,33,1212,0,40,17420,-19,0,10
20039,tgb,1756550,84150,0,tree,0,0,56,2630,7,38,1064,0,392,21338,-129,0,76
20040,tgb,1756550,84650,0,tree,0,0,100,2703,7,38,1060,0,415,11755,-3,0,54
20041,tgb,1756550,106800,0,tree,23,0,77,2071,12.8125,44,1486,0,153,16160,40,-2,-50
20042,tgb,1756650,84050,0,tree,0,0,94,2630,7,38,1063,0,379,19778,-107,0,-126
20043,tgb,1756730,97270,0,tree,2,1,85,1845,7.1875,43,1457,0,323,9219,24,-3,-209
20044,tgb,1756770,97440,0,tree,23,0,27,1823,12.375,43,1470,0,376,17140,40,-3,-181
20045,tgb,1757000,105850,0,tree,0,1,100,2213,12,44,1443,0,324,11109,39,-2,-94
20046,tgb,1757050,75950,0,tree,2,1,54,1669,12,38,1126,0,303,13378,37,-3,157
20047,tgb,1757050,83950,0,tree,0,0,100,2465,7,39,1075,0,136,20495,-125,-1,136
20048,tgb,1757050,107950,0,tree,29,0,71,1949,7,44,1516,0,438,19525,8,-3,-70
11004,tgb,1571250,41150,0,tree,43,1,19,3393,0,34,1317,0,451,20616,-70,0,-29
20049,tgb,1757050,127950,0,tree,2,1,98,2248,17,45,1724,1,125,15263,54,-2,-43
20050,tgb,1757050,139950,0,tree,8,0,17,1900,12,48,2057,0,311,22297,36,-3,188
20051,tgb,1757050,151950,0,tree,27,0,17,2584,17,43,1486,0,154,14891,122,-1,41
20052,tgb,1757050,155950,0,tree,0,0,63,2796,24,41,1314,0,92,16405,70,0,9
20053,tgb,1757200,84200,0,tree,21,0,66,2466,7,39,1079,0,223,12850,-25,-1,241
20054,tgb,1757200,117140,0,tree,50,0,25,2761,7,44,1473,0,328,20180,22,-1,-41
20055,tgb,1757250,117050,0,tree,56,0,0,2718,7,44,1480,0,307,20230,23,-1,-15
20056,tgb,1757300,83750,0,tree,4,0,96,2530,12,38,1064,0,242,12336,-29,-1,-262
20057,tgb,1757300,156160,0,tree,23,0,33,2752,23.3125,41,1332,0,103,16114,71,0,29
20058,tgb,1757320,116780,0,tree,48,1,21,2815,6.9375,44,1463,0,596,19962,7,0,209
11005,tgb,1571310,43420,0,tree,27,0,72,2499,7,38,1658,0,395,16976,22,-1,-126
20059,tgb,1757350,84100,0,tree,4,0,96,2572,7,38,1059,0,270,16070,-73,0,-1
20060,tgb,1757350,151550,0,tree,8,0,92,2594,17.125,43,1486,0,166,21365,125,-1,-8
20061,tgb,1757380,156750,0,tree,0,0,0,2855,24,41,1275,0,74,17076,57,0,0
20062,tgb,1757390,97310,0,tree,12,1,31,1894,1.3125,43,1436,0,373,15688,-2,-3,-250
20063,tgb,1757400,156050,0,tree,4,0,40,2697,23,41,1366,0,114,16083,73,0,60
20064,tgb,1757410,152100,0,tree,0,0,56,2622,17,43,1466,0,145,14576,125,-1,3
20065,tgb,1757420,152180,0,tree,6,0,81,2652,8.5,42,1442,0,120,15980,0,-1,-12
20066,tgb,1757430,116730,0,tree,60,1,27,2878,7,43,1438,0,498,20026,7,0,-294
20067,tgb,1757470,156540,0,tree,8,0,23,2796,24,41,1307,0,97,16186,67,0,15
20068,tgb,1757550,85950,0,tree,0,0,94,2849,7,38,1038,0,372,21579,-179,0,-2
11006,tgb,1571330,41750,0,tree,69,1,12,3327,7.625,35,1316,0,400,19074,-45,0,-147
20069,tgb,1757550,86050,0,tree,0,0,81,2766,7,39,1050,0,374,18295,-107,0,146
20070,tgb,1757560,116640,0,tree,13,1,0,2648,7,44,1482,0,345,22370,6,-1,196
20071,tgb,1757650,58500,0,tree,0,0,100,1590,12.0625,36,1249,1,293,21061,38,-3,-9
20072,tgb,1757650,156350,0,tree,4,0,77,2715,23,41,1356,0,114,15813,73,0,56
20073,tgb,1757690,84830,0,tree,8,0,92,2590,7,39,1064,0,92,17382,-111,0,101
20074,tgb,1757710,116470,0,tree,15,0,4,2815,7,44,1438,0,433,22486,6,0,125
20075,tgb,1757780,85350,0,tree,0,0,81,2879,9.1875,38,1030,0,65,14133,-91,0,-126
20076,tgb,1757800,58550,0,tree,0,0,44,1596,12.4375,36,1244,1,353,20705,39,-3,-13
20077,tgb,1757870,114300,0,tree,38,0,0,3150,7.125,43,1321,0,350,10033,24,0,-273
20078,tgb,1757900,83750,0,tree,8,1,23,2552,12,38,1057,0,219,12358,-34,0,-68
11007,tgb,1571340,43450,0,tree,19,1,75,2360,7,38,1725,0,432,13920,22,-1,199
20079,tgb,1757990,96890,0,tree,0,1,0,1929,0,42,1403,0,0,13016,-7,-3,-353
20080,tgb,1758000,114150,0,tree,13,0,0,3158,7,43,1319,0,198,13372,20,0,-178
20081,tgb,1758000,151270,0,tree,15,0,85,2562,12,43,1515,0,137,15114,82,-1,-55
20082,tgb,1758050,56950,0,tree,0,1,94,1741,7,36,1251,1,297,9819,22,-3,-82
20083,tgb,1758050,57650,0,tree,0,0,0,1963,9,35,1206,0,0,16992,-11,-2,-124
20084,tgb,1758050,83950,0,tree,4,0,96,2659,12,38,1046,0,235,11832,-23,0,-102
20085,tgb,1758050,84550,0,tree,0,0,100,2746,7,38,1036,0,243,17264,-115,0,-24
20086,tgb,1758050,86950,0,tree,31,0,62,2636,7,39,1077,0,418,23041,-139,0,-1
20087,tgb,1758050,126950,0,tree,0,0,0,1902,17,46,1763,1,118,17926,52,-3,72
20088,tgb,1758150,83150,0,tree,0,0,100,2080,12,39,1108,0,367,9741,36,-2,104
11008,tgb,1571390,43600,0,tree,10,1,89,2363,7,38,1720,0,430,14975,22,-1,181
20089,tgb,1758170,113970,0,tree,0,0,0,3158,7,43,1313,0,185,13657,16,0,-157
20090,tgb,1758230,96850,0,tree,0,1,0,1932,0,42,1397,0,59,14057,-2,-3,-483
20091,tgb,1758250,125800,0,tree,2,0,98,1850,17,46,1767,1,43,19108,53,-3,14
20092,tgb,1758290,156230,0,tree,23,0,64,2719,23.125,41,1351,0,166,18250,70,0,48
20093,tgb,1758350,118850,0,tree,4,0,46,1784,7,45,1706,0,186,21178,23,-3,-64
20094,tgb,1758360,151700,0,tree,25,0,75,2492,13.25,43,1548,0,168,15626,112,-1,26
20095,tgb,1758400,113760,0,tree,15,0,4,3158,7,43,1307,0,159,12524,17,0,-157
20096,tgb,1758400,153370,0,tree,12,0,12,2697,0,42,1409,0,162,14089,0,0,1
20097,tgb,1758420,83510,0,tree,2,0,98,2369,12,39,1076,0,249,10998,5,-1,-60
20098,tgb,1758450,83200,0,tree,0,1,94,2118,14.625,39,1104,0,412,7543,39,-2,-189
10100,tgb,1511650,29450,0,tree,45,0,54,3317,24,28,1079,0,10,18434,-184,0,2
11009,tgb,1571390,79000,0,tree,48,0,2,3097,17,31,977,0,151,16195,-148,0,15
20099,tgb,1758450,119250,0,tree,12,0,56,1702,7,46,1730,0,187,15345,23,-4,-38
20100,tgb,1758450,151820,0,tree,0,0,88,2533,14.8125,43,1526,0,93,16318,127,-1,-4
20101,tgb,1758460,113610,0,tree,13,0,0,3051,7,43,1319,0,395,11168,23,0,-77
20102,tgb,1758470,153350,0,tree,23,0,8,2687,0,42,1421,0,107,16663,0,-1,3
20103,tgb,1758470,158370,0,tree,2,0,4,2931,23.1875,40,1225,0,142,16727,17,0,24
20104,tgb,1758480,96670,0,tree,0,1,0,1932,0.5,42,1389,0,0,13191,-13,-3,-287
20105,tgb,1758480,96820,0,tree,0,1,0,1932,0,42,1391,0,0,14030,-7,-3,-337
20106,tgb,1758500,113660,0,tree,37,0,6,3158,7.1875,43,1304,0,247,12281,18,0,-252
20107,tgb,1758520,96530,0,tree,0,1,88,1770,6.5,43,1428,0,681,3472,23,-3,-159
20108,tgb,1758560,112270,0,tree,17,0,39,2505,7,44,1415,0,221,14394,23,-1,35
11010,tgb,1571400,17150,0,tree,14,1,48,2096,12,36,1402,0,235,16381,0,-2,146
20109,tgb,1758650,115130,0,tree,37,0,6,3088,18,43,1342,0,178,19910,9,0,-82
20110,tgb,1758700,79350,0,tree,0,1,100,1785,11.375,39,1135,0,397,11901,37,-3,157
20111,tgb,1758750,83350,0,tree,0,1,100,2080,11.4375,39,1113,0,496,8864,37,-2,121
20112,tgb,1758750,112120,0,tree,0,0,88,2520,15.1875,44,1411,0,133,19609,35,-1,13
20113,tgb,1758750,114930,0,tree,14,0,10,3126,18,43,1330,0,116,18911,9,0,-83
20114,tgb,1758780,112150,0,tree,0,0,100,2514,17,44,1412,0,145,16749,52,-1,146
20115,tgb,1758850,83450,0,tree,0,1,100,2092,11.4375,39,1106,0,319,11980,25,-2,209
20116,tgb,1758850,84550,0,tree,4,0,96,2867,17,38,1019,0,115,14865,-86,0,-70
20117,tgb,1758850,118650,0,tree,0,0,56,1679,7,46,1722,0,201,21017,23,-4,-64
20118,tgb,1758900,113290,0,tree,33,0,4,3147,7,43,1295,0,63,14091,-2,0,-168
11011,tgb,1571440,72920,0,tree,21,0,54,2774,25,33,1194,0,109,20918,-78,0,-14
20119,tgb,1758930,151100,0,tree,27,0,73,2383,11.0625,44,1627,0,157,14035,75,-1,50
20120,tgb,1758930,157150,0,tree,17,0,21,2899,24,40,1247,0,80,18725,19,0,10
20121,tgb,1758950,83050,0,tree,0,1,100,1931,13.25,39,1124,0,284,13413,33,-2,152
20122,tgb,1758960,114830,0,tree,40,0,4,3116,18,43,1326,0,127,19907,8,0,-91
20123,tgb,1758975,85300,0,tree,8,0,67,2941,12,38,1014,0,15,18118,-156,0,-24
20124,tgb,1758980,151000,0,tree,4,0,46,2354,11,44,1648,0,176,13952,74,-1,71
20125,tgb,1759010,157250,0,tree,41,0,33,2946,18.6875,40,1217,0,303,18323,32,0,-21
20126,tgb,1759040,156450,0,tree,19,0,31,2960,17.1875,40,1225,0,111,17416,33,0,-77
20127,tgb,1759050,85950,0,tree,12,0,81,2929,12,38,1018,0,140,19503,-172,0,8
20128,tgb,1759050,114450,0,tree,0,0,0,3147,22.375,43,1313,0,26,17814,72,0,-67
11012,tgb,1571550,16900,0,tree,0,1,100,2035,12,36,1418,0,335,19543,-5,-2,25
20129,tgb,1759120,157250,0,tree,10,0,8,3022,17.125,40,1191,0,147,16201,31,0,-147
20130,tgb,1759150,157200,0,tree,0,0,0,2992,17,40,1214,0,173,17808,18,0,-61
20131,tgb,1759180,153850,0,tree,19,0,68,2697,0,42,1411,0,189,14450,0,0,8
20132,tgb,1759200,83100,0,tree,0,1,100,2069,12,39,1103,0,345,16136,7,-2,100
20133,tgb,1759200,150870,0,tree,2,0,92,2361,11,44,1648,0,200,13217,74,-1,66
20134,tgb,1759250,153900,0,tree,6,0,50,2670,10.5,42,1424,0,117,15611,39,-1,24
20135,tgb,1759270,157550,0,tree,4,0,8,2998,17,40,1208,0,168,14935,34,0,-39
20136,tgb,1759400,113480,0,tree,4,0,2,3125,24.1875,43,1296,0,132,13905,64,0,-29
20137,tgb,1759410,114940,0,tree,33,1,35,2930,9.0625,43,1367,0,333,20107,-9,0,-131
20138,tgb,1759440,84230,0,tree,6,0,75,2568,11.1875,38,1053,0,453,8048,36,0,177
11013,tgb,1571550,41050,0,tree,2,1,4,3193,0,35,1373,0,286,21055,-94,0,125
20139,tgb,1759450,82900,0,tree,10,1,83,2262,12,39,1075,0,360,12891,20,-1,146
20140,tgb,1759450,83050,0,tree,0,1,100,2323,12,39,1069,0,328,15046,-9,-1,-13
20141,tgb,1759450,85350,0,tree,0,0,50,2956,12,38,1009,0,17,18197,-159,0,-9
20142,tgb,1759530,114880,0,tree,31,0,37,2888,11.8125,43,1371,0,390,20520,9,0,-131
20143,tgb,1759550,85450,0,tree,0,0,25,2968,12,38,1009,0,19,18387,-165,0,-3
20144,tgb,1759650,91550,0,tree,29,0,39,1444,7,42,1362,0,264,12694,23,-4,12
20145,tgb,1759660,114990,0,tree,45,1,48,2663,7,44,1414,0,366,22290,8,-1,-81
20146,tgb,1759700,85325,0,tree,14,0,79,2971,12,38,1006,0,22,17863,-158,0,-14
20147,tgb,1759750,85325,0,tree,4,0,90,2975,12,38,1006,0,21,17769,-156,0,-13
20148,tgb,1759800,114500,0,tree,27,0,54,3016,18,43,1330,0,164,19949,27,0,-138
11014,tgb,1571580,41950,0,tree,85,1,2,3199,7.5,35,1360,0,418,20681,-34,0,-134
20149,tgb,1759850,82200,0,tree,2,1,73,2201,12,38,1080,0,336,12947,24,-1,10
20150,tgb,1759900,90550,0,tree,0,1,0,1435,7,42,1337,0,238,14856,22,-4,146
20151,tgb,1759950,114250,0,tree,27,0,10,3010,18,43,1330,0,268,19478,18,0,-131
20152,tgb,1760000,82400,0,tree,37,1,62,2335,12,38,1064,0,382,10701,35,-1,125
20153,tgb,1760050,84600,0,tree,0,1,38,2926,12,38,1005,0,306,10516,-20,0,-14
20154,tgb,1760150,96300,0,tree,2,1,42,1928,7.375,42,1353,0,314,8560,24,-3,-184
20155,tgb,1760230,96820,0,tree,8,1,60,1994,7.3125,42,1348,0,284,15796,8,-3,-171
20156,tgb,1760230,96900,0,tree,2,1,4,1918,7,42,1367,0,336,16775,15,-3,-162
20157,tgb,1760350,159970,0,tree,47,0,45,3148,17,39,1112,0,226,21708,-101,0,-16
20158,tgb,1760370,154300,0,tree,21,0,29,2689,11.875,42,1417,0,213,13511,76,-1,45
11015,tgb,1571630,41910,0,tree,17,1,58,3293,7.3125,35,1335,0,442,7452,25,0,-493
20159,tgb,1760370,154370,0,tree,4,0,21,2725,18,42,1396,0,116,14264,78,0,26
20160,tgb,1760400,96440,0,tree,12,1,62,2114,7.375,42,1311,0,321,10139,22,-2,-283
20161,tgb,1760400,111120,0,tree,43,0,56,2637,7,43,1355,0,239,21592,-21,-1,241
20162,tgb,1760450,90300,0,tree,0,0,50,1779,6.75,41,1262,0,543,18755,22,-3,314
20163,tgb,1760450,151450,0,tree,0,0,100,2354,11.25,44,1655,0,222,12309,75,-1,44
20164,tgb,1760500,114150,0,tree,25,1,37,2742,12.5,43,1383,0,363,19421,49,-1,-168
20165,tgb,1760510,90125,0,tree,0,0,100,2052,8,40,1195,0,325,21690,-8,-2,-126
20166,tgb,1760550,152350,0,tree,4,0,96,2435,17,44,1592,0,55,17135,123,-1,8
20167,tgb,1760600,91620,0,tree,10,0,52,1953,7,41,1240,0,225,11350,24,-2,-104
20168,tgb,1760610,111350,0,tree,29,0,52,2824,7,43,1315,0,201,15800,7,0,27
11016,tgb,1571660,34330,0,tree,48,0,2,3584,20.8125,34,1165,0,377,21349,-69,1,-77
20169,tgb,1760610,112270,0,tree,0,0,0,3135,7,42,1266,0,10,17291,-49,0,-81
20170,tgb,1760620,96980,0,tree,12,1,19,1969,7.625,42,1351,0,364,17063,20,-3,-171
20171,tgb,1760630,152030,0,tree,0,0,100,2374,11.625,44,1635,0,118,15299,75,-1,32
20172,tgb,1760650,91870,0,tree,0,1,100,1905,7,41,1252,0,316,19482,8,-3,-25
20173,tgb,1760650,151450,0,tree,14,0,79,2361,11.5,44,1651,0,189,12262,76,-1,35
20174,tgb,1760720,152190,0,tree,8,0,92,2411,17,44,1613,0,87,17068,123,-1,6
20175,tgb,1760720,152400,0,tree,0,0,94,2441,17,44,1591,0,84,16644,125,-1,0
20176,tgb,1760750,90850,0,tree,0,1,100,1945,7,41,1224,0,222,17504,3,-2,-45
20177,tgb,1760780,111780,0,tree,23,0,2,2958,17.4375,43,1301,0,311,20227,26,0,15
20178,tgb,1760800,79750,0,tree,0,1,100,2028,12,38,1093,0,300,16874,10,-2,-53
11017,tgb,1571680,34510,0,tree,21,0,79,3487,7,34,1193,0,350,10952,-20,1,146
20179,tgb,1760800,115230,0,tree,2,1,98,1846,7,45,1605,0,411,12693,7,-3,-12
20180,tgb,1760840,92390,0,tree,2,1,92,1917,7,41,1257,0,296,13050,22,-3,-27
20181,tgb,1760840,151780,0,tree,2,0,85,2321,11,44,1677,0,107,19358,74,-1,61
20182,tgb,1760850,79850,0,tree,0,1,100,2077,12,38,1087,0,313,19871,-10,-2,-50
20183,tgb,1760850,89875,0,tree,2,0,60,2075,7.25,40,1184,0,431,20857,1,-2,-472
20184,tgb,1760850,96400,0,tree,10,0,89,2128,7.625,42,1300,0,312,8133,25,-2,-220
20185,tgb,1760850,113950,0,tree,58,1,35,2263,7,44,1480,0,378,19444,7,-2,152
20186,tgb,1760850,151650,0,tree,12,0,87,2324,11,44,1682,0,163,17395,74,-1,59
20187,tgb,1760900,137325,0,tree,6,1,94,2429,7,45,1740,1,414,6800,8,-1,-231
20188,tgb,1760910,90810,0,tree,6,0,94,1972,7,41,1217,0,211,13422,19,-2,-50
11018,tgb,1571700,23630,0,tree,31,0,12,3538,17.0625,34,1155,0,184,12213,-22,1,-81
20189,tgb,1760930,152130,0,tree,0,0,100,2354,11,44,1651,0,131,15401,75,-1,43
20190,tgb,1760930,152550,0,tree,37,0,25,2479,17.125,43,1560,0,158,13845,130,-1,-10
20191,tgb,1760940,90790,0,tree,0,0,100,2012,9.625,41,1207,0,187,15479,7,-2,-81
20192,tgb,1760950,79850,0,tree,0,1,100,2144,12,38,1077,0,337,20304,-25,-1,-62
20193,tgb,1760950,90730,0,tree,0,0,100,2004,9.5,41,1207,0,146,16441,-2,-2,-73
20194,tgb,1760950,115350,0,tree,0,1,100,1669,7,45,1648,0,348,12069,22,-4,13
20195,tgb,1760960,152030,0,tree,0,0,100,2324,11,44,1671,0,107,15998,74,-1,61
20196,tgb,1760980,96790,0,tree,37,1,56,2079,7,42,1316,0,343,16727,1,-2,-121
20197,tgb,1761000,82600,0,tree,0,1,100,2803,12,37,1006,0,254,16248,-70,0,45
20198,tgb,1761030,113850,0,tree,37,1,6,2265,7,44,1474,0,379,22001,7,-2,-189
10101,tgb,1511700,42250,0,tree,4,1,96,2270,12.875,34,1657,0,159,20836,-15,-1,-153
11019,tgb,1571700,34610,0,tree,10,0,83,3615,7,34,1165,0,417,8996,-1,1,-283
20199,tgb,1761050,79950,0,tree,4,1,96,2144,12,38,1077,0,436,20654,-7,-1,-14
20200,tgb,1761050,83950,0,tree,12,0,75,3042,7.125,37,983,0,284,16703,-71,0,-59
20201,tgb,1761050,84950,0,tree,0,0,0,2987,12,38,996,0,23,17679,-158,0,13
20202,tgb,1761050,85950,0,tree,0,0,0,3081,17,38,989,0,16,17840,-164,0,-38
20203,tgb,1761050,87950,0,tree,29,0,58,2867,7.75,39,1030,0,266,16998,-91,0,-210
20204,tgb,1761050,90430,0,tree,10,0,71,1930,17,41,1215,0,227,14685,44,-2,188
20205,tgb,1761050,95950,0,tree,14,1,29,1729,5.3125,42,1379,0,373,8299,24,-3,-128
20206,tgb,1761050,107950,0,tree,39,0,48,1976,7,44,1470,0,293,15485,23,-3,-38
20207,tgb,1761050,111950,0,tree,0,0,0,3075,7,42,1268,0,228,12893,15,0,-20
20208,tgb,1761050,151950,0,tree,0,0,94,2315,11,44,1673,0,115,15783,73,-1,65
11020,tgb,1571730,34720,0,tree,17,0,52,3666,7,33,1146,0,70,13682,-73,1,-220
20209,tgb,1761070,89270,0,tree,0,0,100,2557,13,39,1092,0,222,20919,-97,-1,-129
20210,tgb,1761070,113780,0,tree,25,1,0,2290,7,44,1465,0,387,21647,7,-2,-199
20211,tgb,1761070,114670,0,tree,0,1,100,1885,7,45,1582,0,429,15528,9,-3,-303
20212,tgb,1761100,96170,0,tree,17,1,71,1879,7,42,1351,0,275,9479,24,-3,-166
20213,tgb,1761100,115650,0,tree,6,1,56,1721,7,45,1636,0,173,16121,24,-4,-168
20214,tgb,1761130,90480,0,tree,4,0,96,1978,17,41,1208,0,211,13208,49,-2,-12
20215,tgb,1761150,96380,0,tree,19,0,62,2119,7,42,1298,0,351,8303,24,-2,-134
20216,tgb,1761160,89125,0,tree,0,0,100,2680,13,39,1069,0,182,20250,-104,0,-160
20217,tgb,1761160,113670,0,tree,4,1,2,2387,7,44,1440,0,424,22023,8,-2,-315
20218,tgb,1761170,90560,0,tree,4,0,83,2024,17.125,41,1200,0,81,15921,28,-2,-70
11021,tgb,1571750,34700,0,tree,0,0,44,3524,7,34,1209,0,566,10943,-2,1,-72
20219,tgb,1761170,115360,0,tree,4,1,90,1577,4.8125,45,1667,0,440,5923,23,-4,45
20220,tgb,1761180,123010,0,tree,0,1,100,1604,7,46,1756,1,432,9156,22,-4,162
20221,tgb,1761230,96580,0,tree,27,0,54,2245,7.6875,41,1271,0,273,13327,-3,-2,-241
20222,tgb,1761230,111800,0,tree,0,0,0,2992,5.25,42,1280,0,292,12462,23,0,37
20223,tgb,1761250,96120,0,tree,4,1,33,1829,7,42,1356,0,231,10183,24,-3,-118
20224,tgb,1761250,155220,0,tree,14,0,10,2998,12.4375,40,1254,0,171,16613,72,0,-87
20225,tgb,1761300,90500,0,tree,23,0,64,2014,17,41,1201,0,125,14491,41,-2,-47
20226,tgb,1761310,113350,0,tree,19,1,12,2727,7,43,1357,0,365,22358,5,-1,-111
20227,tgb,1761310,114550,0,tree,6,1,81,1508,6.6875,46,1684,0,494,15957,6,-4,367
20228,tgb,1761320,123210,0,tree,6,1,69,1776,7,46,1703,1,381,8573,23,-3,125
11022,tgb,1571750,41950,0,tree,29,1,70,3172,7,35,1387,0,409,9953,15,0,-150
20229,tgb,1761350,123000,0,tree,6,1,50,1600,7,46,1745,1,231,13037,22,-4,146
20230,tgb,1761400,156900,0,tree,62,0,37,3022,17,40,1202,0,333,20145,13,0,-21
20231,tgb,1761450,131050,0,tree,0,0,100,2506,17,45,1624,1,117,20186,54,-1,-59
20232,tgb,1761480,148350,0,tree,37,0,19,2460,12,45,1663,0,208,21607,82,-1,-14
20233,tgb,1761500,70050,0,tree,0,0,100,1886,12,36,1036,0,255,11809,34,-2,-10
20234,tgb,1761500,90760,0,tree,4,1,58,2037,13.8125,41,1198,0,305,10021,51,-2,-252
20235,tgb,1761510,63570,0,tree,0,0,100,1579,7,36,1146,0,250,12009,22,-3,159
20236,tgb,1761610,123280,0,tree,12,0,31,1844,7,45,1681,1,241,11598,23,-3,43
20237,tgb,1761625,48975,0,tree,0,0,0,1154,7,37,1428,1,90,15269,24,-5,-142
20238,tgb,1761630,96360,0,tree,14,0,73,2154,7,41,1284,0,368,8673,24,-2,-156
11023,tgb,1571850,16850,0,tree,12,1,75,1851,11.625,36,1462,0,153,17159,8,-2,152
20239,tgb,1761630,112900,0,tree,4,0,2,2983,24,43,1297,0,217,20662,14,0,-148
20240,tgb,1761630,131000,0,tree,10,1,89,2535,17,45,1614,1,78,19409,54,-1,-32
20241,tgb,1761650,70800,0,tree,0,1,88,2195,7,36,991,0,276,10489,15,-1,149
20242,tgb,1761700,96670,0,tree,66,0,27,2207,7.1875,41,1280,0,308,16644,-25,-2,-221
20243,tgb,1761750,86120,0,tree,0,0,88,2911,11,38,1007,0,130,14807,-95,0,67
20244,tgb,1761750,87950,0,tree,2,0,4,2888,7,38,1023,0,54,18882,-170,0,-121
20245,tgb,1761750,90310,0,tree,8,1,85,2072,9.75,40,1177,0,322,14350,31,-2,-325
